#{"t_start": 1714568829.0929067, "env_id": "None"}
r,l,t
16.56781,17,1.994908
42.511061,52,3.576968
44.35365,54,5.364151
32.924159,35,6.512461
19.374268,22,7.175117
18.866415,20,7.775205
17.311292,20,8.589149
42.022981,51,10.212865
17.058025,17,10.726384
16.017982,21,12.549226
20.705167,21,13.178146
14.533773,15,13.632124
20.765467,21,14.262277
11.750833,14,14.681893
10.337761,12,15.133834
133.408232,156,22.059844
10.964985,12,22.421296
23.818168,24,23.14291
9.476783,10,23.441011
22.041105,23,25.150452
44.608112,53,26.835319
14.299792,17,27.347708
20.209182,21,28.636811
11.056306,13,29.028219
23.918534,25,29.778794
55.310696,57,32.331337
38.074736,38,33.47139
41.938002,51,35.002302
122.847099,136,40.832666
25.648585,28,41.675645
18.356837,23,42.370018
19.217612,20,42.970674
104.336131,123,48.158849
38.512547,42,49.425093
32.62093,33,50.512783
34.171997,36,51.864739
17.123344,18,52.406371
119.492018,139,57.09411
23.608562,24,58.269652
11.445364,14,58.693213
41.836979,46,60.171972
17.779516,19,60.746841
33.228086,35,61.984071
83.339718,89,64.924113
36.922088,45,66.280031
78.829261,84,69.071904
38.147991,39,70.24677
59.089686,70,72.626816
93.837048,108,76.178174
25.096221,31,77.118603
43.22883,49,78.760241
30.243812,31,79.698249
64.301042,69,81.975415
38.493863,46,83.368692
64.599453,69,85.643957
42.124402,42,86.915118
21.269279,22,87.672313
30.616064,31,88.698325
55.265905,57,90.556145
131.835271,140,95.000771
18.866664,20,95.608019
27.010699,30,96.610664
33.528082,38,97.874824
79.159581,85,100.65717
40.857367,45,102.024512
112.202612,127,106.127412
11.124248,13,106.688325
9.816203,12,107.05223
98.66676,108,110.584438
188.286701,201,117.150207
88.389316,89,119.979956
39.354895,43,121.380725
32.480178,33,122.378927
107.91038,108,125.988889
82.422869,89,128.683995
131.50204,142,133.336455
154.100281,167,138.726686
42.727867,49,140.348643
40.223244,45,141.712854
58.809507,60,143.795153
188.955589,201,150.374241
24.031704,25,151.12957
25.946581,30,152.178937
34.497818,35,153.250526
15.850245,17,153.763391
85.234583,85,156.561275
40.001882,42,157.83409
96.330976,100,161.08607
191.808957,201,167.670961
81.145526,88,170.49551
122.796585,132,174.887336
108.474699,118,178.710734
26.106885,31,179.734227
182.865137,201,186.289772
189.573233,201,192.947745
192.622646,201,199.474993
26.549176,30,200.476388
146.550194,150,205.432905
195.793508,201,211.930581
59.818655,62,214.087695
180.446923,201,220.655939
146.161274,158,225.824457
195.324805,201,232.354411
70.055435,74,234.854469
194.98933,201,241.366278
38.897769,40,242.671167
33.279449,36,243.903484
34.603168,35,244.965465
196.143714,201,251.685129
46.407537,47,253.122014
100.323737,100,256.39016
48.627301,50,258.04779
123.484186,130,262.248417
199.814404,201,268.90573
189.489674,201,275.529316
193.204494,201,282.240197
118.341819,127,286.603511
191.384263,201,293.322826
191.124135,201,299.94991
139.720603,141,304.525483
201.455064,201,311.189741
38.648141,43,312.510121
33.07174,38,313.832927
116.92368,115,317.557888
29.891856,31,318.598992
100.366921,102,321.855729
148.204288,150,326.952628
83.639912,88,329.823474
101.42398,105,333.315315
