#{"t_start": 1721478622.5331488, "env_id": "None"}
r,l,t
15.0,15,0.629379
24.0,24,1.599584
43.0,43,3.34853
21.0,21,4.276627
18.0,18,5.004308
13.0,13,5.612899
17.0,17,6.300852
22.0,22,7.195177
18.0,18,7.924289
15.0,15,8.989169
21.0,21,9.838805
16.0,16,10.489065
95.0,95,14.934778
31.0,31,16.189162
16.0,16,16.926396
25.0,25,18.393866
14.0,14,18.960717
23.0,23,19.90003
17.0,17,20.594352
14.0,14,21.160307
23.0,23,22.524279
50.0,50,24.636789
32.0,32,25.936815
189.0,189,34.970021
22.0,22,35.863811
82.0,82,39.852349
170.0,170,47.894482
116.0,116,53.170917
98.0,98,57.619955
33.0,33,59.051032
49.0,49,61.712166
70.0,70,65.247778
151.0,151,72.436507
188.0,188,81.776596
46.0,46,83.729618
20.0,20,85.433916
201.0,201,95.170967
27.0,27,96.2671
94.0,94,101.170515
182.0,182,110.402453
160.0,160,117.81566
158.0,158,126.333478
42.0,42,128.037749
201.0,201,138.459749
48.0,48,141.453042
201.0,201,150.886632
198.0,198,160.259541
173.0,173,168.344911
201.0,201,177.897563
201.0,201,188.315165
201.0,201,197.69237
201.0,201,206.910455
78.0,78,210.159752
118.0,118,216.253891
201.0,201,226.440956
201.0,201,237.030241
201.0,201,247.131
201.0,201,257.519748
93.0,93,261.368744
201.0,201,271.805981
201.0,201,282.928083
201.0,201,292.560682
201.0,201,301.860034
201.0,201,311.202399
201.0,201,320.444594
201.0,201,329.819634
183.0,183,338.002788
201.0,201,348.275109
201.0,201,358.774281
201.0,201,369.172277
201.0,201,379.244387
201.0,201,389.582923
201.0,201,399.754982
201.0,201,410.001446
201.0,201,420.081691
201.0,201,430.20943
201.0,201,440.368159
201.0,201,450.774364
201.0,201,462.479592
201.0,201,473.114969
201.0,201,483.424895
201.0,201,494.243471
201.0,201,504.769291
201.0,201,515.153273
201.0,201,524.981885
201.0,201,534.333745
201.0,201,543.858837
201.0,201,553.593692
201.0,201,563.37596
201.0,201,573.034086
201.0,201,583.059939
201.0,201,592.948958
201.0,201,602.875373
95.0,95,607.31218
131.0,131,613.315747
80.0,80,617.299298
54.0,54,619.573091
201.0,201,629.211397
201.0,201,639.178632
201.0,201,649.079904
201.0,201,658.726644
201.0,201,668.487514
36.0,36,670.647556
101.0,101,675.442975
201.0,201,685.078409
201.0,201,695.106548
201.0,201,705.545887
201.0,201,716.386199
201.0,201,727.00354
201.0,201,737.444422
201.0,201,748.177052
201.0,201,758.775736
201.0,201,769.551321
201.0,201,779.874375
201.0,201,790.491031
201.0,201,801.213209
201.0,201,811.74773
201.0,201,822.29929
201.0,201,832.719739
118.0,118,838.391008
201.0,201,848.136304
201.0,201,858.25582
201.0,201,868.240179
201.0,201,877.858716
201.0,201,887.888351
201.0,201,897.834202
106.0,106,902.99138
201.0,201,913.194675
201.0,201,923.601692
201.0,201,934.348198
201.0,201,945.10335
201.0,201,955.443066
201.0,201,966.114769
201.0,201,976.827332
34.0,34,979.452771
36.0,36,980.913234
201.0,201,991.502159
201.0,201,1002.056786
201.0,201,1012.743646
201.0,201,1023.386042
201.0,201,1034.031617
201.0,201,1044.538352
120.0,120,1050.656174
201.0,201,1061.609771
201.0,201,1072.51996
201.0,201,1083.609206
201.0,201,1094.737996
201.0,201,1105.709068
33.0,33,1108.422244
201.0,201,1119.498199
201.0,201,1130.474761
201.0,201,1141.407802
78.0,78,1144.658982
201.0,201,1155.433399
201.0,201,1166.496617
201.0,201,1177.509301
201.0,201,1188.482401
201.0,201,1199.153934
201.0,201,1209.92812
201.0,201,1220.703168
201.0,201,1231.346177
201.0,201,1242.258425
201.0,201,1253.198131
201.0,201,1264.29382
201.0,201,1275.401609
201.0,201,1286.455096
201.0,201,1297.592284
201.0,201,1308.601737
201.0,201,1319.659023
201.0,201,1332.035954
201.0,201,1343.15581
201.0,201,1354.340683
201.0,201,1365.389784
201.0,201,1376.507752
89.0,89,1380.115447
12.0,12,1382.00989
115.0,115,1388.191046
201.0,201,1399.227067
201.0,201,1410.13983
201.0,201,1420.788159
189.0,189,1430.972733
201.0,201,1441.580509
201.0,201,1452.313649
85.0,85,1455.757794
13.0,13,1457.561932
200.0,200,1468.212481
201.0,201,1478.88019
201.0,201,1489.419188
201.0,201,1500.033196
201.0,201,1510.644325
201.0,201,1521.483927
201.0,201,1532.326931
201.0,201,1543.298155
201.0,201,1554.28813
201.0,201,1565.039119
146.0,146,1572.350375
146.0,146,1580.840732
201.0,201,1591.610162
201.0,201,1602.402275
201.0,201,1613.00167
201.0,201,1623.959241
201.0,201,1634.892226
201.0,201,1645.615651
201.0,201,1656.125451
201.0,201,1666.685934
201.0,201,1677.082205
201.0,201,1687.257756
166.0,166,1695.086037
201.0,201,1705.448663
201.0,201,1715.807592
201.0,201,1725.987325
201.0,201,1736.454296
201.0,201,1746.834609
201.0,201,1757.299205
201.0,201,1767.661264
201.0,201,1778.244852
201.0,201,1788.802923
201.0,201,1799.62386
201.0,201,1811.853326
201.0,201,1822.585386
201.0,201,1833.462138
201.0,201,1844.044438
201.0,201,1854.731137
201.0,201,1865.409781
201.0,201,1875.942322
201.0,201,1886.590475
201.0,201,1897.105789
201.0,201,1907.58678
201.0,201,1917.684751
201.0,201,1927.838026
201.0,201,1937.743382
201.0,201,1947.570628
201.0,201,1957.341391
201.0,201,1966.932614
201.0,201,1976.445059
201.0,201,1985.902593
201.0,201,1995.599532
201.0,201,2005.451885
201.0,201,2015.138526
201.0,201,2024.932061
201.0,201,2034.664495
201.0,201,2044.48031
201.0,201,2054.291431
201.0,201,2064.124555
201.0,201,2073.896279
201.0,201,2083.604339
201.0,201,2093.311286
201.0,201,2102.968061
201.0,201,2112.730176
201.0,201,2122.43437
201.0,201,2132.242338
201.0,201,2142.066916
201.0,201,2151.796891
201.0,201,2161.596693
201.0,201,2171.309954
201.0,201,2181.201661
201.0,201,2190.944479
201.0,201,2200.720719
201.0,201,2210.459615
