#{"t_start": 1714486048.332574, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.006719
12.0,12,0.008419
22.0,22,0.011435
10.0,10,0.012825
16.0,16,0.015027
29.0,29,0.045927
24.0,24,0.078234
26.0,26,0.081921
21.0,21,0.084845
16.0,16,0.087093
22.0,22,0.149244
26.0,26,0.152868
63.0,63,0.247831
15.0,15,0.249977
33.0,33,0.254525
22.0,22,0.257552
14.0,14,0.278413
35.0,35,0.368387
25.0,25,0.371857
47.0,47,0.378287
11.0,11,0.467364
91.0,91,0.49881
35.0,35,0.597898
13.0,13,0.618411
33.0,33,0.622988
65.0,65,0.726975
31.0,31,0.750139
18.0,18,0.752701
20.0,20,0.863551
26.0,26,0.867167
27.0,27,0.870913
31.0,31,0.89414
19.0,19,0.954804
59.0,59,0.962838
22.0,22,0.965871
31.0,31,1.055483
31.0,31,1.059783
45.0,45,1.122486
24.0,24,1.125819
24.0,24,1.14779
17.0,17,1.150251
12.0,12,1.151938
77.0,77,1.225634
26.0,26,1.247917
27.0,27,1.305954
21.0,21,1.308868
68.0,68,1.393088
64.0,64,1.420761
39.0,39,1.498156
35.0,35,1.521697
51.0,51,1.528688
24.0,24,1.587222
45.0,45,1.593309
48.0,48,1.692643
12.0,12,1.694343
20.0,20,1.697086
27.0,27,1.700755
42.0,42,1.807991
45.0,45,1.81417
49.0,49,1.897622
25.0,25,1.91985
84.0,84,2.064901
21.0,21,2.067835
40.0,40,2.092055
63.0,63,2.22488
38.0,38,2.230052
81.0,81,2.376926
47.0,47,2.573953
67.0,67,2.602063
38.0,38,2.774345
144.0,144,3.049933
77.0,77,3.318349
114.0,114,3.618691
51.0,51,3.625633
23.0,23,3.883063
200.0,200,4.606847
89.0,89,4.809001
161.0,161,5.013229
208.0,208,5.50998
145.0,145,6.360225
202.0,202,7.264889
125.0,125,7.820003
124.0,124,8.296376
268.0,268,9.783906
87.0,87,10.153308
185.0,185,11.019414
155.0,155,11.525429
287.0,287,12.876
220.0,220,13.64721
177.0,177,14.456456
205.0,205,15.343816
260.0,260,16.444384
172.0,172,16.944089
186.0,186,17.791928
173.0,173,18.711254
142.0,142,19.08536
114.0,114,19.531319
158.0,158,20.012504
252.0,252,20.795868
311.0,311,22.146185
77.0,77,22.175888
299.0,299,23.705701
258.0,258,24.760624
174.0,174,25.347636
247.0,247,26.08073
424.0,424,27.95244
500.0,500,30.626532
174.0,174,31.685303
233.0,233,32.949344
180.0,180,33.286498
