#{"t_start": 1721469609.5200255, "env_id": "None"}
r,l,t
-17.714622,12,1.50625
-13.291243,4,1.670426
-6.401652,1,1.71011
-9.791645,3,1.833087
-18.285544,4,1.99481
-14.1843,7,2.278522
-24.581789,22,3.170798
-14.865085,5,3.37416
-8.23746,1,3.414365
-14.385598,15,4.018982
-19.22987,8,4.341883
-9.639935,1,4.382054
-15.033016,5,4.584427
-6.401652,1,4.625099
-13.138425,3,4.745627
-11.90717,2,4.826449
-10.702726,3,4.947495
-14.458758,2,5.028321
-11.969669,2,5.149973
-12.451068,3,5.271466
-9.639935,1,5.312633
-40.624087,23,6.246493
-11.969669,2,6.50835
-14.50553,5,6.710244
-11.1949,1,6.750393
-8.23746,1,6.790597
-8.089005,2,6.870949
-10.828783,1,6.91209
-11.391936,1,6.952762
-11.1949,1,6.993434
-19.50463,11,7.439338
-10.828783,1,7.480038
-9.04165,2,7.561387
-11.44877,1,7.601557
-9.04165,2,7.684858
-8.23746,1,7.72553
-11.391936,1,7.766202
-14.973713,5,7.96857
0.472132,8,8.292978
-12.108472,3,8.415495
-14.546851,25,9.456254
-10.479866,1,9.497918
-13.786698,4,9.662463
-11.90717,2,9.744332
-11.843173,2,9.825179
-7.391391,3,9.947696
-15.298603,14,10.517095
-21.036718,6,10.762608
-11.44877,1,10.806235
-8.710759,12,11.294321
-11.1949,1,11.335991
-15.911348,6,11.579004
-14.76522,5,11.872636
-15.95753,3,11.993683
-15.346755,3,12.115676
-17.035918,4,12.277395
-26.126692,24,13.257964
-8.201205,21,14.145318
0.88825,12,14.630907
-8.23746,1,14.672557
-15.193559,5,14.874933
-6.401652,1,14.915605
-11.391936,1,14.956277
-10.828783,1,14.997446
-11.1949,1,15.037599
-13.381508,4,15.200784
-11.1949,1,15.24195
-11.969669,2,15.325278
-9.639935,1,15.365455
-2.041227,13,15.89419
-12.108472,3,16.016702
-29.746659,17,16.710138
-8.23746,1,16.751279
-12.598082,3,16.874811
-14.467727,2,16.955631
-10.828783,1,16.996326
-11.1949,1,17.127734
-8.463207,2,17.209082
-6.90816,10,17.616798
-22.214466,10,18.100925
-14.966956,5,18.303293
2.589248,5,18.506653
-11.44877,1,18.548325
-10.479866,1,18.588995
-21.78739,27,19.688755
-11.564029,7,19.973459
-7.391391,3,20.094978
-13.712205,6,20.338543
-12.434477,3,20.460478
-11.969669,2,20.541822
-2.286055,11,20.991666
-17.203213,5,21.195027
-10.828783,1,21.235699
-14.100011,7,21.519412
-13.294252,2,21.600781
-20.136375,14,22.238116
-2.281282,14,22.897357
-9.639935,1,22.938028
-10.828783,1,22.978724
-1.010234,11,23.427112
-2.529205,9,23.792641
-14.321692,20,24.607069
-11.44877,1,24.647245
-11.1949,1,24.690893
-20.016477,6,24.933933
-9.704558,21,25.788069
-21.016351,13,26.377206
-6.401652,1,26.418374
-9.639935,1,26.459046
-13.67647,4,26.62135
-6.401652,1,26.662022
-13.770017,3,26.783566
-13.274221,5,26.985938
-11.44877,1,27.027105
-9.639935,1,27.067774
-12.225321,2,27.148598
-12.868436,4,27.312774
-9.705946,23,28.338503
-6.033123,8,28.663879
-8.101787,3,28.785399
-17.098756,3,28.907443
-18.060448,9,29.273971
-14.044246,3,29.395998
-7.645135,5,29.59837
-17.355085,12,30.089384
-8.23746,1,30.130056
-11.44877,1,30.170727
-8.23746,1,30.211401
-10.479866,1,30.251604
3.773213,8,30.631016
-13.89691,8,30.955341
-9.090934,25,31.973696
-8.089005,2,32.05504
-0.439502,12,32.543127
-12.648211,3,32.664155
-9.117286,17,33.445714
-2.101132,12,33.93615
-20.747039,12,34.423723
-14.271057,4,34.640442
-0.382406,11,35.087751
0.247447,9,35.45579
-11.843173,2,35.537602
1.568478,7,35.821833
-7.391391,3,35.943329
1.012058,6,36.188353
-1.255808,24,37.165474
0.393227,8,37.489858
1.318988,6,37.732899
-21.941755,27,38.976147
-11.44877,1,39.017315
-18.172763,6,39.263355
-9.04165,2,39.344701
-8.101787,3,39.46672
1.573615,9,39.832739
-9.639935,1,39.873908
-6.401652,1,39.914112
3.221788,6,40.158117
0.924499,9,40.527164
-10.479866,1,40.567836
1.864253,6,40.812368
3.941431,7,41.096548
