#{"t_start": 1721296801.3773506, "env_id": "None"}
r,l,t
-18.024344,5,0.244334
-10.697799,1,0.285998
-11.069042,22,1.187476
-12.826161,2,1.268815
-0.001374,10,1.6779
-18.344109,10,2.089056
-12.82268,10,2.498284
-7.465936,1,2.539424
-11.823296,2,2.621292
-5.533332,1,2.662462
-10.697799,1,2.703104
-9.344706,1,2.744299
-12.459912,3,2.868793
-11.896548,2,2.951132
-10.697799,1,2.991806
-16.466117,5,3.197127
-13.824657,10,3.604859
-7.465936,1,3.646027
-14.759246,4,3.811167
-11.823296,2,3.892539
-13.633535,2,3.974847
-8.447464,5,4.27603
-13.65619,2,4.358366
-7.878482,2,4.43971
-10.685427,2,4.523921
-5.533332,1,4.565071
-13.87997,9,4.932112
-5.533332,1,4.973298
-18.316548,8,5.300165
-11.917188,2,5.384955
-15.92114,6,5.726725
-11.67846,2,5.808538
-11.167388,1,5.84921
-15.528916,3,5.972217
-11.167388,1,6.013385
-11.167388,1,6.056537
-10.414044,1,6.097747
-13.954139,27,7.208276
-17.289726,11,7.660128
-11.11639,1,7.701296
-13.606318,3,7.823815
-5.533332,1,7.86498
1.577297,11,8.316598
-11.11639,1,8.358287
-15.12327,27,9.524891
-18.119546,5,9.731189
-22.032147,27,10.940436
-15.331042,27,12.047508
-10.697799,1,12.088704
-10.951959,5,12.292532
-17.63149,5,12.497407
-7.465936,1,12.539072
-13.65619,2,12.622372
-18.789314,27,13.794049
-15.3088,4,13.959723
-11.689856,2,14.041562
-7.465936,1,14.08273
-10.697799,1,14.123898
-11.854947,2,14.207722
-15.035381,4,14.371925
-21.059144,11,14.822762
-9.344706,1,14.863433
-11.167388,1,14.905098
-7.740509,2,14.986938
-0.481999,19,15.765656
-9.344706,1,15.806825
-11.353824,1,15.847497
-5.984241,13,16.476451
-27.63563,23,17.471924
-12.803957,3,17.594934
-10.697799,1,17.635605
-1.869915,10,18.04778
-4.181049,14,18.62165
-11.353824,1,18.663314
-8.625193,6,18.908335
-11.11639,1,18.949011
-7.324135,2,19.030823
-11.854947,2,19.11319
-9.344706,1,19.153858
-10.418282,3,19.276866
-9.344706,1,19.318037
-10.685427,2,19.39987
-15.594893,6,19.647351
-15.908685,4,19.810562
-16.00134,3,19.933073
-9.042302,20,20.753949
-17.281775,9,21.121985
-13.907022,4,21.340196
-18.811732,8,21.668549
-9.222003,4,21.927987
-7.465936,1,21.968159
-13.627632,5,22.174468
-7.279908,5,22.37882
-10.697799,1,22.420014
-6.746378,4,22.583696
-10.697799,1,22.623872
-17.861225,7,22.910532
-4.629755,14,23.483908
-16.351012,14,24.058303
2.105346,9,24.426803
-10.414044,1,24.467475
-7.465936,1,24.508642
-11.11639,1,24.549314
-23.827235,21,25.46378
-27.921081,20,26.283703
-6.757608,20,27.203814
-11.823296,2,27.285153
-6.417006,19,28.065264
-16.983697,7,28.351929
-9.344706,1,28.392629
-14.614196,3,28.515637
-0.877864,13,29.047817
-14.492657,3,29.171345
-11.917188,2,29.25316
-6.110329,11,29.757552
-5.533332,1,29.798721
-12.984587,26,30.866636
-11.854947,2,30.948475
0.810114,6,31.193991
-18.995973,8,31.521351
-11.353824,1,31.562495
-10.697799,1,31.605675
-9.42748,3,31.727691
-14.091695,26,32.889851
-9.452908,4,33.053061
-2.5743,10,33.465219
-10.76365,6,33.710757
-4.066097,21,34.623944
-4.870604,14,35.197817
1.545625,20,36.017674
-7.878482,2,36.099515
-7.740509,2,36.181382
-16.38059,23,37.126258
-9.669285,3,37.249243
-8.912935,18,38.082548
