#{"t_start": 1714659130.166806, "env_id": "None"}
r,l,t
-201.0,201,11.17257
-201.0,201,22.498437
-201.0,201,32.956393
-201.0,201,43.514927
-201.0,201,53.784639
-201.0,201,64.119779
-201.0,201,74.021776
-201.0,201,84.288772
-201.0,201,93.763888
-201.0,201,102.92151
-201.0,201,112.1993
-201.0,201,121.361937
-201.0,201,130.603402
-201.0,201,139.772157
-201.0,201,149.011503
-201.0,201,158.267744
-201.0,201,167.42704
-201.0,201,176.670675
-201.0,201,185.834943
-201.0,201,195.088813
-201.0,201,204.268181
-201.0,201,213.51143
-201.0,201,222.763802
-201.0,201,231.936849
-201.0,201,241.210753
-201.0,201,250.404819
-201.0,201,259.654233
-201.0,201,268.840587
-201.0,201,278.122687
-201.0,201,287.380512
-201.0,201,296.558504
-201.0,201,305.825042
-201.0,201,315.002439
-201.0,201,324.256709
-201.0,201,333.482434
-201.0,201,342.757157
-201.0,201,352.021846
-201.0,201,361.178149
-201.0,201,370.449871
-201.0,201,379.620874
-201.0,201,388.888659
-201.0,201,398.069434
-201.0,201,407.325486
-201.0,201,416.621494
-201.0,201,425.804572
-201.0,201,435.059114
-201.0,201,444.246835
-201.0,201,453.523713
-201.0,201,462.699224
-201.0,201,471.954767
-201.0,201,481.223912
-201.0,201,490.390407
-201.0,201,499.642128
-201.0,201,508.842118
-201.0,201,518.108581
-201.0,201,527.270257
-201.0,201,536.512685
-201.0,201,545.787318
-201.0,201,554.951106
-201.0,201,564.204072
-201.0,201,573.434987
-201.0,201,582.694942
-201.0,201,591.875408
-201.0,201,601.163628
-201.0,201,610.424589
-201.0,201,619.595137
-201.0,201,628.880041
-201.0,201,638.061455
-201.0,201,647.30919
-201.0,201,656.482128
-201.0,201,665.732695
-201.0,201,674.978673
-201.0,201,684.15619
-201.0,201,693.410792
-201.0,201,702.589669
-201.0,201,711.86268
-201.0,201,721.055739
-201.0,201,730.317278
-201.0,201,739.576156
-201.0,201,748.76372
-201.0,201,758.025233
-201.0,201,767.184305
-201.0,201,776.465336
-201.0,201,785.633469
-201.0,201,794.87247
-201.0,201,804.127683
-201.0,201,813.320554
-201.0,201,822.578004
-201.0,201,831.75551
-201.0,201,841.012326
-201.0,201,850.180041
-201.0,201,859.432755
-201.0,201,868.710495
-201.0,201,877.889301
-201.0,201,887.152464
-201.0,201,896.303034
-201.0,201,905.572272
-201.0,201,914.754405
-201.0,201,924.037759
-201.0,201,933.294129
-201.0,201,943.942594
-201.0,201,953.206776
-201.0,201,962.375951
-201.0,201,971.638598
-201.0,201,980.805719
-201.0,201,990.056578
-201.0,201,999.320174
-201.0,201,1008.497712
-201.0,201,1017.774197
-201.0,201,1026.941947
-201.0,201,1036.212109
-201.0,201,1045.435371
-201.0,201,1054.703964
-201.0,201,1063.965044
-201.0,201,1073.137493
-201.0,201,1082.399915
-201.0,201,1091.572199
-201.0,201,1100.82511
-201.0,201,1109.996388
-201.0,201,1119.249147
-201.0,201,1128.514491
-201.0,201,1137.683625
-201.0,201,1146.924995
-201.0,201,1156.078661
-201.0,201,1165.33061
-201.0,201,1174.490452
-201.0,201,1183.744009
-201.0,201,1192.911351
-201.0,201,1202.17305
-201.0,201,1211.415998
-201.0,201,1220.577826
-201.0,201,1229.844061
-201.0,201,1239.044389
-201.0,201,1248.282825
-201.0,201,1257.455019
-201.0,201,1266.707999
-201.0,201,1275.966736
-201.0,201,1285.119747
-201.0,201,1294.376934
-201.0,201,1303.554318
-201.0,201,1312.812714
-201.0,201,1322.012007
-201.0,201,1331.255988
-201.0,201,1340.509507
-201.0,201,1349.688649
-201.0,201,1358.955599
-201.0,201,1368.150586
-201.0,201,1377.425466
-201.0,201,1386.58517
-201.0,201,1395.841677
-201.0,201,1405.135607
-201.0,201,1414.323814
-201.0,201,1423.578454
-201.0,201,1432.755176
-201.0,201,1442.027995
-201.0,201,1451.211647
-201.0,201,1460.49428
-201.0,201,1469.764809
-201.0,201,1478.956612
-201.0,201,1488.243502
-201.0,201,1497.42046
-201.0,201,1506.677118
-201.0,201,1515.858648
-201.0,201,1525.12768
-201.0,201,1534.391665
-201.0,201,1543.58405
-201.0,201,1552.868795
-201.0,201,1562.03837
-201.0,201,1571.297775
-201.0,201,1580.459981
-201.0,201,1589.727102
-201.0,201,1598.98109
-201.0,201,1608.150464
-201.0,201,1617.398898
