#{"t_start": 1714603203.2127473, "env_id": "None"}
r,l,t
-763.03093,201,10.832174
-988.890993,201,20.161803
-955.450107,201,29.346105
-924.131048,201,38.385501
-714.857853,201,47.302392
-743.971211,201,56.342576
-704.696062,201,65.338887
-987.436038,201,74.466848
-1040.256265,201,84.056875
-1023.297511,201,93.472357
-767.130135,201,102.494334
-778.526512,201,111.422418
-1032.559181,201,120.397706
-1354.877604,201,129.308449
-1043.062824,201,138.250418
-1030.784761,201,147.262298
-794.921026,201,156.18254
-973.769018,201,165.176135
-799.605592,201,174.169975
-1036.973088,201,183.197186
-1800.120698,201,192.134804
-793.793896,201,201.123832
-1038.54532,201,210.164446
-709.810658,201,219.084337
-878.134504,201,228.058608
-1164.640958,201,236.957325
-793.110057,201,245.952511
-1043.389994,201,254.894042
-670.549261,201,263.892298
-1033.777656,201,272.859649
-1008.668792,201,281.756046
-928.573654,201,290.755612
-1098.357745,201,299.699587
-713.511557,201,308.721665
-831.322076,201,317.631765
-731.946305,201,326.636448
-717.288411,201,335.645635
-1382.845042,201,344.75654
-939.690508,201,353.755546
-855.780021,201,362.666649
-723.44504,201,371.633618
-1095.243053,201,380.566007
-949.111496,201,389.550503
-1858.047792,201,398.570641
-1042.014661,201,407.481491
-976.270536,201,416.523429
-941.586929,201,425.451832
-924.379652,201,434.440048
-936.208047,201,443.36543
-931.631525,201,452.348004
-842.730663,201,461.348398
-646.743054,201,470.290754
-962.271718,201,479.273029
-964.688935,201,488.228498
-1062.672637,201,497.198718
-952.902232,201,506.100565
-933.553839,201,515.115388
-847.620517,201,524.098205
-741.390246,201,533.010725
-838.487369,201,542.049763
-857.492745,201,550.922389
-1863.262471,201,559.933123
-1847.998345,201,568.835624
-933.684466,201,577.824014
-834.975981,201,586.81904
-710.636271,201,595.735523
-940.803555,201,604.749306
-1141.566765,201,613.650043
-840.752745,201,622.647049
-738.93275,201,631.555866
-1175.290328,201,640.558358
-748.115813,201,649.542125
-858.686532,201,658.443331
-718.857237,201,667.467759
-633.556506,201,676.385549
-798.01647,201,685.411978
-959.284232,201,694.328754
-846.458177,201,703.320642
-867.193036,201,712.343024
-891.584733,201,721.261552
-976.794462,201,730.313692
-974.722144,201,739.280576
-724.516494,201,748.285196
-1263.612275,201,757.225592
-942.4801,201,766.236583
-1059.351797,201,775.278781
-731.657892,201,784.22916
-916.608096,201,793.24876
-1005.73945,201,802.224441
-827.63913,201,811.222352
-842.371215,201,820.128913
-936.078589,201,829.146332
-792.378039,201,838.155127
-876.491251,201,847.060766
-844.909017,201,856.123044
-801.878508,201,865.030082
-1848.256067,201,874.046565
-1757.806892,201,882.925517
-1368.639356,201,891.910249
-1219.652718,201,900.886373
-848.747681,201,911.190635
-854.894229,201,920.207745
-1180.19268,201,929.128499
-962.296573,201,938.141828
-920.79064,201,947.051914
-741.254221,201,956.112978
-877.074275,201,965.119538
-1800.154131,201,974.018606
-1025.953013,201,983.059431
-1758.429347,201,991.975238
-790.954219,201,1001.023241
-1229.737216,201,1009.928574
-857.695575,201,1018.893404
-1853.804105,201,1027.925879
-883.189344,201,1036.851953
-1675.965108,201,1045.89399
-835.858901,201,1054.809087
-694.972052,201,1063.807906
-931.965782,201,1072.722507
-1699.111937,201,1081.755927
-729.708551,201,1090.790543
-752.414642,201,1099.708287
-1766.090282,201,1108.729401
-821.965046,201,1117.739124
-889.756862,201,1126.794959
-744.721201,201,1135.715451
-1187.673443,201,1144.712271
-746.215128,201,1153.625564
-962.705334,201,1162.655846
-1840.35969,201,1171.674903
-910.187019,201,1180.599888
-788.892956,201,1189.596682
-975.467039,201,1198.531123
-869.192336,201,1207.544758
-1041.981953,201,1216.508627
-1284.603702,201,1225.570378
-1327.796721,201,1234.612544
-1257.352212,201,1243.566548
-1388.856076,201,1252.570169
-1713.338525,201,1261.484542
-1828.974103,201,1270.502576
-1297.72194,201,1279.441246
-1276.058484,201,1288.468777
-1186.053976,201,1297.529852
-638.267592,201,1306.434896
-1700.678333,201,1315.442303
-1770.702287,201,1324.357147
-1346.900467,201,1333.402174
-1781.190468,201,1342.281979
-1848.600205,201,1351.304683
-1462.551009,201,1360.311193
-1209.535147,201,1369.20397
-960.820252,201,1378.207917
-858.33454,201,1387.115272
-1759.531718,201,1396.122713
-707.373261,201,1405.027415
-1783.81276,201,1414.024177
-758.169633,201,1423.047204
-1243.829986,201,1431.938863
-1351.6115,201,1440.963734
-1327.956951,201,1449.872173
-1537.174109,201,1458.876064
-1787.052966,201,1467.841903
-1802.635884,201,1476.883004
-1401.266063,201,1485.919785
-1715.323458,201,1494.856017
-1589.440434,201,1503.888229
-1522.140108,201,1512.779171
-1642.214269,201,1521.778931
-1311.562355,201,1530.693563
-1307.593983,201,1539.722986
-1223.31895,201,1548.712271
-1032.506797,201,1557.643941
-1387.03445,201,1566.676665
-1444.88077,201,1575.581053
-1458.97805,201,1584.589677
-1502.698684,201,1593.528868
-1440.917654,201,1602.566335
-1370.341073,201,1611.574769
-1404.343374,201,1620.516021
-1396.555769,201,1629.510549
-1423.21875,201,1638.397103
-1412.369418,201,1647.391445
-1329.648621,201,1656.295277
-1403.434685,201,1665.303669
-1373.224565,201,1674.319326
-1347.991108,201,1683.222458
-1279.557329,201,1692.230545
-1089.238615,201,1701.169871
-1299.796295,201,1710.16785
-1339.842803,201,1719.109658
-1344.196138,201,1728.107086
-1319.718339,201,1737.113985
-1390.743955,201,1746.042268
-1354.298223,201,1755.038848
-1392.619867,201,1763.981743
-1267.864192,201,1772.987449
-1287.174877,201,1781.854239
-1354.644423,201,1790.852655
-1284.226298,201,1799.844527
-1380.025432,201,1810.141501
-1358.582423,201,1819.132451
-1304.854392,201,1828.019971
-1222.151794,201,1837.016025
-1182.014203,201,1845.920048
-1268.363028,201,1854.902549
-1118.640085,201,1863.894434
-1140.066507,201,1872.794769
-1158.603981,201,1881.779064
-1146.237871,201,1890.68446
-1163.185021,201,1899.648564
-1155.957797,201,1908.561019
-1148.833255,201,1917.532151
-1229.634677,201,1926.472264
-1160.802751,201,1935.377551
-1243.022639,201,1944.38638
-1215.747213,201,1953.303654
-1273.714499,201,1962.278204
-1256.517471,201,1971.1719
-1312.570765,201,1980.183806
-1238.782488,201,1989.19518
-1259.053654,201,1998.085384
-1319.888467,201,2007.102643
-1271.601109,201,2016.004331
-1365.757486,201,2025.017432
-1297.229335,201,2033.939019
-1178.058259,201,2042.901701
-1067.572855,201,2051.912655
-1316.436324,201,2060.816608
-1318.272951,201,2069.762252
-971.972937,201,2078.663338
-1169.433779,201,2087.644864
-1331.155591,201,2096.537273
-1331.4886,201,2105.503394
-1223.588133,201,2114.50023
-1209.418786,201,2123.403369
-1304.324006,201,2132.382226
-1311.279585,201,2141.268898
-1262.631191,201,2150.240892
-1288.814446,201,2159.132734
-1374.883708,201,2168.145305
-1073.176898,201,2177.166458
-1319.653739,201,2186.071216
-1356.263188,201,2195.038965
-1348.90959,201,2203.964642
-1334.871036,201,2212.977448
-1061.56695,201,2221.891209
-1073.112808,201,2230.860966
