#{"t_start": 1721232270.7016253, "env_id": "None"}
r,l,t
-644.941154,201,11.030443
-559.479964,201,22.125331
-534.944921,201,33.127222
-925.647411,201,44.221021
-613.390408,201,55.228727
-738.39856,201,66.314832
-1514.372919,201,77.297361
-567.506098,201,88.391356
-1189.540533,201,99.502553
-1552.846117,201,110.491164
-575.395848,201,121.580059
-956.40919,201,132.567119
-820.430028,201,143.661082
-1128.449818,201,154.650744
-1356.002482,201,165.765176
-669.35094,201,176.852783
-1334.574535,201,187.839826
-1173.214738,201,199.017406
-635.448391,201,210.023749
-638.910213,201,221.121755
-591.385868,201,232.100484
-561.382357,201,243.187033
-739.150273,201,254.259354
-634.666549,201,265.248326
-500.550449,201,276.335444
-569.649867,201,287.326845
-1492.267567,201,298.425751
-578.936191,201,309.417448
-644.898355,201,320.531161
-731.25791,201,331.61169
-738.421191,201,342.612749
-632.30354,201,353.708373
-578.526335,201,364.713594
-731.860071,201,375.812042
-510.372858,201,386.815878
-779.459868,201,397.928614
-741.01494,201,409.013759
-1415.081094,201,420.005668
-603.933792,201,431.109606
-457.22349,201,442.11117
-727.203932,201,453.206752
-865.532602,201,464.199134
-623.676388,201,475.29853
-1707.384562,201,486.396228
-871.532258,201,497.375283
-1579.467621,201,508.449578
-762.558887,201,519.442839
-1693.189251,201,530.550609
-359.645461,201,541.547157
-997.569254,201,552.656296
-559.811672,201,563.745787
-869.494585,201,574.749416
-832.825626,201,585.844473
-555.647325,201,596.827943
-1042.811202,201,607.910587
-531.800279,201,618.915026
-611.452006,201,630.017862
-478.220756,201,641.122533
-720.361266,201,652.129928
-345.778581,201,663.215487
-929.160866,201,674.222323
-709.215709,201,685.324677
-689.934614,201,696.324974
-465.649646,201,707.415516
-609.280747,201,718.51961
-737.744505,201,729.541824
-1637.361969,201,740.639428
-679.736082,201,751.670497
-1656.270164,201,762.743356
-587.296396,201,773.734378
-523.856218,201,784.80522
-815.660656,201,795.880322
-615.796397,201,806.888069
-552.893805,201,817.981253
-596.235229,201,828.97354
-524.588233,201,840.071193
-581.442101,201,851.080169
-541.202825,201,862.177457
-684.567126,201,873.274315
-450.300128,201,884.295771
-636.839975,201,895.382272
-1315.565444,201,906.385958
-438.964298,201,917.481719
-1640.985338,201,928.464213
-1516.651898,201,939.550144
-1178.751745,201,950.656322
-903.170672,201,961.664496
-726.912713,201,972.774218
-709.496987,201,983.764168
-900.727743,201,994.868032
-725.768188,201,1005.868862
-1612.172578,201,1016.956442
-1218.386949,201,1028.079293
-575.812213,201,1039.074406
-782.949947,201,1050.173072
-591.431434,201,1061.165566
-468.396951,201,1072.250563
-451.546485,201,1083.244402
-754.3997,201,1094.343193
-665.748622,201,1105.419876
-487.562952,201,1117.829936
-1669.357675,201,1128.92657
-1494.766021,201,1139.945421
-490.605075,201,1151.033135
-596.180269,201,1162.034993
-537.215166,201,1173.120904
-708.008997,201,1184.224599
-1401.601215,201,1195.237937
-480.619815,201,1206.322574
-631.830534,201,1217.315287
-481.124342,201,1228.398393
-456.459714,201,1239.395887
-1674.004306,201,1250.490603
-733.939182,201,1261.566177
-1637.724187,201,1272.568852
-629.525019,201,1283.70948
-1723.479953,201,1294.696498
-754.907132,201,1305.797626
-752.853605,201,1316.791915
-1529.061273,201,1327.874308
-1698.563824,201,1338.945695
-696.530181,201,1349.957093
-794.05129,201,1361.05065
-1279.430336,201,1372.07082
-947.821426,201,1383.167924
-1690.958079,201,1394.17848
-1074.555511,201,1405.279243
-1495.351128,201,1416.263883
-444.512055,201,1427.355852
-772.318793,201,1438.47898
-1611.576886,201,1449.478436
-603.325437,201,1460.573692
-788.78103,201,1471.578199
-1605.772841,201,1482.662143
-861.531254,201,1493.677365
-717.440791,201,1504.800264
-1603.925249,201,1515.899411
-1684.285029,201,1526.905863
-772.671673,201,1537.998055
-621.814863,201,1549.023448
-1656.813522,201,1560.12233
-1675.969198,201,1571.142993
-1663.53142,201,1582.23996
-1236.603688,201,1593.337783
-1670.372534,201,1604.33637
-1648.834234,201,1615.429357
-1127.348142,201,1626.437438
-1663.730837,201,1637.539541
-1668.216125,201,1648.556265
-1663.121518,201,1659.640025
-948.492598,201,1670.723438
-1629.731137,201,1681.719216
-1673.179035,201,1692.810888
-1689.295106,201,1703.807596
-1636.278169,201,1714.905432
-1457.619901,201,1725.899947
-1520.299305,201,1736.984197
-1053.409234,201,1748.05467
-1530.436491,201,1759.048174
-1568.651593,201,1770.137782
-1670.919011,201,1781.126701
-1687.249105,201,1792.210017
-758.364999,201,1803.203101
-966.666461,201,1814.28536
-1171.613456,201,1825.368142
-1660.824742,201,1836.384089
-1259.895146,201,1847.46349
-1683.574211,201,1858.465559
-1635.812873,201,1869.549988
-883.193263,201,1880.554098
-1227.813398,201,1891.651238
-1683.628015,201,1902.762843
-924.372747,201,1913.756774
-1676.737217,201,1924.857572
-1691.771771,201,1935.85152
-1664.738028,201,1946.958174
-1710.561366,201,1957.956611
-1575.82232,201,1969.028797
-770.993535,201,1980.11341
-1582.241423,201,1991.106444
-1566.69011,201,2002.213662
-905.946707,201,2013.223548
-1687.329038,201,2024.33223
-1642.270811,201,2035.311759
-1693.915568,201,2046.408031
-1068.982357,201,2057.492627
-1671.40768,201,2068.491648
-1143.304906,201,2079.597474
-1684.506571,201,2090.604784
-1327.432482,201,2101.700601
-1642.233643,201,2112.696043
-1600.520963,201,2123.79566
-1731.580222,201,2134.874325
-1661.31325,201,2145.883181
-1653.347645,201,2156.972539
-1692.871213,201,2167.964337
-1695.224386,201,2179.080911
-1558.323482,201,2190.062058
-1206.079053,201,2201.146952
-1578.26127,201,2212.227916
-1678.552678,201,2224.593627
-1573.598928,201,2235.670299
-1632.720081,201,2246.673296
-818.938827,201,2257.768963
-1719.61549,201,2268.779534
-1692.645072,201,2279.846647
-1605.865893,201,2290.937567
-897.443064,201,2301.922873
-1714.837533,201,2313.010053
-1703.444009,201,2324.04157
-1681.319138,201,2335.138401
-1092.874846,201,2346.163902
-1712.718142,201,2357.243238
-1675.744778,201,2368.334339
-1685.144772,201,2379.333989
-1676.148103,201,2390.419459
-1428.160475,201,2401.437669
-1259.942291,201,2412.531191
-1656.928263,201,2423.533895
-1615.417654,201,2434.650734
-1686.20465,201,2445.753561
-1623.484916,201,2456.771846
-1649.303849,201,2467.873621
-1632.855592,201,2478.878668
-1424.84719,201,2489.965861
-1633.569537,201,2500.965078
-1669.387883,201,2512.056754
-1314.660496,201,2523.141588
-1632.780738,201,2534.148074
-1643.983155,201,2545.227714
-1622.880873,201,2556.234318
-1584.974734,201,2567.344949
-1348.656159,201,2578.325134
-1587.189466,201,2589.408698
-1504.839869,201,2600.500827
-1615.975236,201,2611.5039
-1588.578909,201,2622.598553
-1598.319415,201,2633.579323
-1455.746489,201,2644.654596
-1548.653478,201,2655.683733
-1397.73496,201,2666.75784
-1509.808213,201,2677.845973
-1543.087548,201,2688.859145
-1506.129348,201,2699.945485
-1559.793823,201,2710.935336
-1534.316898,201,2722.04764
-1574.708765,201,2733.029324
-1501.883991,201,2744.131478
