#{"t_start": 1714581230.5243564, "env_id": "None"}
r,l,t
-51.215129,52,2.882256
-58.215409,52,4.845128
-64.077549,52,6.480075
-51.169249,52,8.417229
-53.956751,52,10.049368
-50.08595,52,11.989158
-52.142366,52,13.533173
-58.663314,52,15.579842
-57.239581,52,17.127392
-54.221487,52,19.157286
-52.954373,52,20.706641
-51.095181,52,22.71195
-54.315532,52,24.355545
-55.501912,52,26.30083
-50.88176,52,27.943139
-54.387832,52,29.883944
-53.831124,52,31.435356
-45.046636,52,33.468816
-52.675657,52,35.023468
-47.171475,52,37.054688
-60.67033,52,38.612295
-53.312899,52,40.558762
-54.096301,52,42.201967
-54.154276,52,44.146281
-55.774067,52,45.790794
-67.322539,52,47.734472
-56.42744,52,49.686682
-51.424806,52,51.327328
-59.136791,52,53.272997
-53.538504,52,54.918632
-60.276469,52,56.865233
-51.739416,52,58.419759
-54.712801,52,60.457804
-48.055116,52,62.011024
-53.864207,52,64.046908
-56.567256,52,65.603022
-50.224216,52,67.647643
-52.383866,52,69.202264
-52.693124,52,71.151464
-51.737404,52,72.803096
-52.557094,52,74.756946
-52.823251,52,76.403593
-45.709902,52,78.355343
-53.898093,52,79.913641
-55.640537,52,81.965557
-50.949119,52,83.520294
-47.715332,52,85.572224
-51.385577,52,87.128876
-57.503683,52,89.077019
-56.376066,52,90.731954
-49.30943,52,92.687552
-49.990288,52,94.726031
-43.542147,52,96.285205
-57.283818,52,98.236034
-51.750413,52,99.88651
-54.444781,52,101.848539
-51.255516,52,103.495558
-50.410325,52,105.445106
-55.699511,52,107.006572
-56.07772,52,109.043786
-50.306601,52,110.605753
-47.800173,52,112.642506
-56.204961,52,114.198801
-50.30744,52,116.153379
-54.293867,52,117.803981
-54.098106,52,119.753678
-55.182859,52,121.403621
-49.462455,52,123.369576
-53.759717,52,125.015235
-50.244531,52,126.965996
-57.619235,52,128.523883
-54.274322,52,130.569796
-61.433665,52,132.125381
-45.036338,52,134.176012
-57.349359,52,135.738629
-56.416396,52,137.691644
-60.759154,52,139.728389
-52.037105,52,141.285204
-50.719793,52,143.329035
-53.878142,52,144.884497
-54.800716,52,146.832229
-53.866374,52,148.483059
-49.380132,52,150.439649
-56.182025,52,152.091429
-48.357883,52,154.043594
-51.476995,52,155.599828
-60.33189,52,157.638926
-46.088239,52,159.193324
-53.108305,52,161.232169
-61.568541,52,162.793135
-51.438721,52,164.740948
-53.379369,52,166.389627
-56.966594,52,168.340724
-55.745261,52,169.985902
-50.260878,52,171.935766
-51.613075,52,173.493718
-58.167065,52,175.534228
-56.830671,52,177.089009
-59.226872,52,179.145409
-43.321854,52,180.700675
-47.816724,52,182.74642
-46.110305,52,184.704022
-56.206815,52,186.266181
-48.129971,52,188.301653
-52.612603,52,189.860599
-53.882567,52,191.902716
-49.124728,52,193.459364
-50.161899,52,195.421985
-54.30946,52,197.070531
-52.12008,52,199.023181
-53.763777,52,200.671133
-49.451372,52,202.625026
-47.239847,52,204.183582
-50.816155,52,206.224732
-50.493797,52,207.782352
-48.967262,52,209.847859
-48.124087,52,211.402875
-50.57686,52,213.352574
-54.972828,52,215.002924
-52.57988,52,216.958098
-46.938684,52,218.605278
-50.358632,52,220.556346
-42.80666,52,222.111342
-57.533399,52,224.151415
-51.771373,52,225.705643
-50.617509,52,227.755074
-56.547334,52,229.701724
-55.008659,52,231.260624
-55.024262,52,233.305284
-50.694359,52,234.868766
-49.363853,52,237.299166
-47.67612,52,238.89185
-51.594171,52,240.972278
-62.320163,52,242.53012
-49.322122,52,244.493953
-51.771933,52,246.144212
-56.654809,52,248.103012
-54.629723,52,249.767265
-50.897011,52,251.750244
-49.60604,52,253.313166
-59.034137,52,255.364233
-65.79248,52,256.922572
-51.12532,52,258.968736
-50.44172,52,260.524495
-50.972581,52,262.480077
-56.177,52,264.135344
-53.905606,52,266.088767
-53.628558,52,267.740503
-49.420241,52,269.695395
-50.623065,52,271.259185
-44.278846,52,273.304655
-52.320654,52,275.262888
-56.808768,52,276.915126
-50.785104,52,278.876605
-55.988519,52,280.438733
-54.370446,52,282.478974
-49.231431,52,284.034553
-50.513808,52,286.096125
-47.451247,52,287.653975
-56.341399,52,289.619255
-46.22951,52,291.273866
-44.995094,52,293.22698
-52.193806,52,294.876353
-46.631746,52,296.830052
-50.881022,52,298.479625
-53.096602,52,300.449597
-55.752392,52,302.006904
-53.627713,52,304.058027
-48.629181,52,305.618688
-53.169427,52,307.656755
