#{"t_start": 1721492584.078774, "env_id": "None"}
r,l,t
-49.279253,52,2.118326
-51.395369,52,4.607656
-49.157219,52,6.793005
-58.280855,52,9.289094
-58.964447,52,11.46951
-53.266137,52,13.962577
-49.484971,52,16.059693
-56.013852,52,18.629105
-49.500375,52,20.728037
-51.098143,52,23.294547
-52.837247,52,25.393904
-51.725062,52,27.884359
-50.165525,52,30.073704
-57.352796,52,32.565125
-50.715244,52,34.75692
-49.125244,52,37.236416
-58.825905,52,39.337113
-46.91153,52,41.912592
-57.950652,52,44.015663
-53.368744,52,46.583554
-53.578084,52,48.682177
-53.174323,52,51.17108
-56.667705,52,53.354011
-55.964108,52,55.839411
-58.057737,52,58.024292
-54.545452,52,60.507269
-49.289949,52,62.99077
-49.343524,52,65.188104
-52.060251,52,67.675545
-59.758473,52,69.872151
-49.324305,52,72.351658
-51.356227,52,74.446792
-52.053992,52,77.009099
-47.271685,52,79.105195
-57.342932,52,81.683901
-51.279572,52,83.783498
-54.644543,52,86.362589
-45.151123,52,88.464638
-50.891982,52,90.952575
-52.754734,52,93.14628
-49.403835,52,95.635627
-55.39299,52,97.821991
-58.965872,52,100.303984
-59.422214,52,102.404994
-53.117785,52,104.976192
-49.719373,52,107.074796
-50.454801,52,109.63666
-46.033366,52,111.740087
-50.19441,52,114.219651
-48.159873,52,116.410042
-58.858915,52,118.885756
-49.769491,52,121.452473
-52.933834,52,123.55353
-42.837609,52,126.027996
-52.154247,52,128.213869
-57.509781,52,130.697455
-54.403379,52,132.878573
-43.77618,52,135.365378
-48.505287,52,137.466958
-47.486863,52,140.039137
-50.171833,52,142.146173
-46.109176,52,144.71673
-50.194355,52,146.813816
-54.271872,52,149.303944
-51.610849,52,151.484857
-50.672927,52,153.972329
-51.614416,52,156.15721
-50.292801,52,158.641672
-53.667606,52,160.826029
-51.390522,52,163.310029
-46.582925,52,165.408602
-55.162762,52,167.992303
-46.262995,52,170.090418
-53.891141,52,172.653692
-54.592606,52,174.758197
-49.055144,52,177.250599
-52.299687,52,179.823956
-51.93856,52,181.921439
-52.347371,52,184.499721
-61.307213,52,186.599317
-54.662751,52,189.080283
-49.364281,52,191.26668
-53.070185,52,193.767017
-52.778973,52,195.955866
-46.745297,52,198.438349
-51.586537,52,200.536399
-40.384077,52,203.105556
-48.015186,52,205.205125
-54.33881,52,207.775781
-47.62699,52,209.877796
-52.374727,52,212.365763
-56.891641,52,214.555777
-53.395657,52,217.045229
-52.923048,52,219.23293
-51.769854,52,221.714836
-53.945082,52,223.811919
-46.100776,52,226.382904
-47.669059,52,228.480982
-47.974759,52,231.055286
-49.246347,52,233.153862
-58.082731,52,235.727276
-41.553767,52,238.21164
-54.000043,52,240.307737
-50.376325,52,242.878447
-41.753031,52,244.976032
-50.13441,52,247.549322
-52.581856,52,249.645714
-56.684564,52,252.135167
-55.414848,52,254.326496
-55.222546,52,256.802998
-53.106052,52,258.994472
-44.443999,52,261.489349
-50.747803,52,263.588426
-48.325366,52,266.166145
-49.983578,52,268.26819
-48.375998,52,270.865711
-53.052888,52,272.964785
-53.699678,52,275.449745
-53.565552,52,277.632586
-54.248456,52,280.131016
-47.756298,52,282.321664
-49.458473,52,284.816384
-47.009488,52,286.917311
-55.634185,52,289.494996
-40.116049,52,291.594069
-52.778761,52,294.164867
-53.538401,52,296.651481
-50.576692,52,298.752066
-48.523147,52,301.321439
-53.798036,52,303.419304
-51.71153,52,305.999997
-43.033512,52,308.103151
-50.666737,52,310.675156
-52.323376,52,312.770724
-49.423106,52,315.259158
-52.782081,52,317.452993
-53.982949,52,319.933491
-49.806821,52,322.120823
-51.631159,52,324.599861
-38.068972,52,326.699429
-55.862347,52,329.270044
-52.091539,52,331.376248
-39.426069,52,333.958382
-50.376129,52,336.059442
-52.701134,52,338.547873
-51.665996,52,340.74138
-55.81586,52,343.222401
-45.822185,52,345.409239
-53.03457,52,347.899654
-49.87939,52,349.997241
-47.77624,52,352.572524
-49.112803,52,355.06872
-50.9981,52,357.253037
-49.367796,52,359.739458
-54.584473,52,361.841536
-49.335068,52,364.418256
-49.917563,52,366.518293
-46.714641,52,369.091028
-56.783119,52,371.189082
-54.333967,52,373.674503
-43.196989,52,375.858399
-51.183197,52,378.344321
-53.824744,52,380.526722
-52.905699,52,383.003939
-48.309312,52,385.191355
-51.455125,52,387.68177
-49.080164,52,389.77985
-51.075226,52,392.364583
-48.377055,52,394.461903
-47.657627,52,397.039278
-47.461557,52,399.135948
-54.28867,52,401.618924
-51.682649,52,403.804789
-50.117392,52,406.290224
