#{"t_start": 1714633253.9095504, "env_id": "None"}
r,l,t
-41.417809,22,1.950008
-82.93576,22,2.595108
-104.026971,22,3.240705
-62.883699,22,3.88652
-48.839481,22,4.698722
-207.692131,22,5.438524
-55.55317,22,6.086242
-104.455616,22,6.731505
-81.790255,22,7.376686
-54.659306,22,8.176745
-55.125757,22,8.820417
-62.891293,22,9.55419
-41.987041,22,10.1966
-122.71576,22,10.992321
-43.130291,22,11.636164
-58.51265,22,12.283004
-58.196492,22,12.931273
-55.808589,22,13.670305
-48.902587,22,14.473282
-44.438166,22,15.120592
-51.887415,22,15.76647
-43.605361,22,16.413792
-44.914966,22,17.202489
-68.387203,22,17.946371
-44.438533,22,18.594478
-45.792281,22,19.240151
-46.461987,22,19.885532
-51.762763,22,20.67725
-49.099463,22,21.323575
-47.825068,22,22.065865
-42.787164,22,22.711979
-44.363956,22,23.498886
-41.99874,22,24.144715
-39.752996,22,24.795701
-45.716636,22,25.532083
-39.548554,22,26.18002
-49.322733,22,26.978702
-60.901588,22,27.625394
-53.916309,22,28.270336
-50.829195,22,28.916547
-45.334286,22,29.811411
-45.021727,22,30.461138
-41.076718,22,31.108192
-39.650115,22,31.754499
-43.848179,22,32.399571
-41.557241,22,33.191286
-46.975401,22,33.930623
-38.202164,22,34.580809
-41.444192,22,35.226583
-39.97877,22,35.874724
-41.868637,22,36.664789
-44.044991,22,37.313119
-46.122188,22,38.052693
-40.986252,22,38.700619
-42.437244,22,39.491803
-42.600553,22,40.13998
-46.202138,22,40.792252
-38.53253,22,41.439587
-41.765371,22,42.175906
-43.569431,22,42.983017
-41.182529,22,43.633291
-38.044128,22,44.284702
-38.182357,22,44.934964
-40.843711,22,45.737574
-44.663357,22,46.480245
-42.458547,22,47.131327
-42.621194,22,47.781796
-41.564565,22,48.43194
-45.2556,22,49.232533
-40.504856,22,49.979607
-38.928009,22,50.629025
-42.889614,22,51.280047
-39.306283,22,52.086476
-41.886442,22,52.736656
-40.280594,22,53.38801
-38.654845,22,54.130758
-39.497408,22,54.781137
-41.769996,22,55.571772
-39.872458,22,56.225028
-38.756354,22,56.873311
-41.283253,22,57.523354
-39.49034,22,58.41614
-40.812926,22,59.065424
-40.175916,22,59.718349
-38.604071,22,60.37214
-40.819653,22,61.022786
-41.036347,22,61.813314
-40.465099,22,62.557245
-39.452771,22,63.208923
-38.667144,22,63.861599
-40.985713,22,64.659929
-40.842288,22,65.310261
-40.853566,22,65.964434
-41.426167,22,66.7094
-40.256288,22,67.36238
-39.407271,22,68.152046
-41.032989,22,68.804823
-42.683617,22,69.455994
-39.171556,22,70.19762
-39.294153,22,70.849269
-39.334618,22,71.649658
-40.738854,22,72.304937
-40.564269,22,72.959739
-44.07582,22,73.617807
-41.739455,22,74.507539
-41.96398,22,75.166704
-39.403521,22,75.821062
-39.873507,22,76.475718
-39.033266,22,77.135052
-39.45227,22,77.939756
-38.624929,22,78.690558
-43.629799,22,79.347926
-39.510149,22,80.00514
-42.561913,22,80.801488
-43.399673,22,81.456146
-40.531848,22,82.111696
-39.076589,22,82.854461
-40.592623,22,83.514318
-41.556292,22,84.314903
-39.79277,22,84.972945
-40.007523,22,85.630932
-41.398811,22,86.288746
-45.666182,22,87.185365
-41.691565,22,87.841989
-39.789972,22,88.498103
-41.758245,22,89.153556
-41.095592,22,89.809045
-40.25742,22,90.604506
-44.423544,22,91.351216
-41.823257,22,92.009849
-47.378346,22,92.667214
-39.825229,22,93.46572
-41.125823,22,94.121851
-40.12422,22,94.869764
-38.268064,22,95.526251
-39.059122,22,96.183245
-40.161345,22,96.979888
-42.371161,22,97.634044
-41.390571,22,98.288599
-38.37521,22,99.03361
-41.451112,22,99.831591
-39.691501,22,100.488857
-39.747924,22,101.140802
-38.629744,22,101.794957
-40.16074,22,102.454047
-40.183743,22,103.345777
-41.519607,22,104.001449
-40.273098,22,104.656905
-38.731689,22,105.313776
-41.648114,22,105.970178
-39.636212,22,106.764926
-39.40562,22,107.5123
-39.425162,22,108.169555
-43.946771,22,108.82821
-38.527497,22,109.637415
-40.862548,22,110.294953
-41.061227,22,110.947878
-40.759756,22,111.69466
-39.271153,22,112.353394
-41.253963,22,113.161043
-40.93716,22,113.818601
-40.266373,22,114.479713
-38.955383,22,115.224124
-39.732574,22,116.033427
-39.338191,22,116.69
-41.786681,22,117.344004
-40.024089,22,118.000235
-42.270083,22,118.655596
-40.969251,22,119.557039
-38.173969,22,120.21527
-40.456323,22,120.871943
-39.397604,22,121.531699
-40.015919,22,122.336929
-39.793731,22,122.996767
-40.499972,22,123.744628
-40.685436,22,124.398998
-39.967914,22,125.055988
-38.467852,22,125.850336
-39.947536,22,126.507902
-40.98229,22,127.163669
-40.122938,22,127.914288
-44.297819,22,128.713424
-40.193901,22,129.366703
-40.021556,22,130.02582
-40.922225,22,130.681526
-41.792957,22,131.339642
-41.454553,22,132.230627
-43.878805,22,132.886942
-38.859198,22,133.542671
-40.268881,22,134.196372
-39.495243,22,134.991477
-41.504075,22,135.646301
-39.644079,22,136.391803
-42.457866,22,137.051086
-40.026207,22,137.707135
-39.066271,22,138.501511
-38.963704,22,139.157611
-40.390949,22,139.906479
-41.403524,22,140.557231
-41.297741,22,141.214086
-38.885114,22,142.012132
-40.773687,22,142.666928
-39.708871,22,143.323113
-39.240819,22,144.06852
-39.137701,22,144.869917
-39.566685,22,145.527526
-39.316879,22,146.185528
-39.614928,22,146.844229
-41.117548,22,147.497963
-38.850788,22,148.385236
-42.437788,22,149.042293
-39.177498,22,149.696449
-39.019956,22,150.351953
-41.360539,22,151.151334
-40.482088,22,151.807022
-40.306236,22,152.550251
-39.546197,22,153.205293
-39.252912,22,153.861837
-40.092013,22,154.66267
-39.542565,22,155.320025
-40.204201,22,155.978139
-40.497533,22,156.726046
-41.815649,22,157.520742
-39.525472,22,158.178367
-41.478527,22,158.833608
-40.577651,22,159.488412
-40.500458,22,160.236996
-40.327765,22,161.037687
-39.838562,22,161.697927
-39.34628,22,162.355519
-38.530002,22,163.010091
-40.080544,22,163.806633
-39.414267,22,164.558104
-39.319387,22,165.213243
-40.327547,22,165.867843
-39.856483,22,166.522015
-39.165138,22,167.316332
-39.89169,22,167.973957
-39.062647,22,168.722762
-38.248806,22,169.379631
-40.923944,22,170.176424
-39.940016,22,170.833022
-42.751082,22,171.491498
