#{"t_start": 1721217829.7738388, "env_id": "None"}
r,l,t
-120.874816,22,0.908576
-74.577619,22,1.797837
-70.187538,22,2.691053
-82.777943,22,3.584094
-94.175749,22,4.623065
-71.552836,22,5.603471
-76.671326,22,6.493079
-62.92945,22,7.382259
-67.59789,22,8.273838
-79.546175,22,9.316752
-100.577412,22,10.205698
-69.261716,22,11.186795
-98.755887,22,12.076117
-62.331976,22,13.115519
-80.929975,22,14.00414
-67.633415,22,14.894823
-71.210278,22,15.788595
-65.170338,22,16.767939
-77.152914,22,17.810397
-77.377633,22,18.698921
-84.723903,22,19.587804
-70.975407,22,20.477278
-72.567679,22,21.515075
-73.680877,22,22.491268
-92.34923,22,23.380999
-64.794682,22,24.269488
-88.810005,22,25.160573
-63.34628,22,26.189441
-64.997607,22,27.081895
-62.80489,22,28.062599
-70.61046,22,28.950934
-61.21664,22,29.990537
-84.474214,22,30.8818
-75.423858,22,31.774848
-63.410051,22,32.752368
-63.482559,22,33.644239
-57.881589,22,34.696581
-58.449079,22,35.584944
-67.025498,22,36.47506
-61.932319,22,37.366245
-63.209046,22,38.48265
-61.001516,22,39.372241
-67.954902,22,40.262272
-67.530358,22,41.150896
-61.808108,22,42.043952
-71.861223,22,43.075385
-66.95681,22,44.055097
-73.159851,22,44.944093
-98.821807,22,45.834846
-69.545089,22,46.724285
-67.971188,22,47.767931
-59.327603,22,48.657752
-88.33214,22,49.637952
-64.134118,22,50.526286
-81.257017,22,51.564077
-60.281116,22,52.454287
-89.757267,22,53.343943
-72.300718,22,54.231867
-68.485983,22,55.211986
-59.5309,22,56.258366
-61.34067,22,57.147117
-63.067595,22,58.036987
-62.636147,22,58.925121
-63.081976,22,59.969266
-87.155182,22,60.944142
-58.945196,22,61.833922
-65.618325,22,62.72708
-63.361248,22,63.617895
-69.421886,22,64.648512
-73.888946,22,65.634244
-57.908011,22,66.5231
-65.192147,22,67.412988
-62.446396,22,68.453139
-61.624992,22,69.343552
-62.78886,22,70.237548
-61.374681,22,71.219339
-61.582958,22,72.109093
-62.771423,22,73.137041
-62.983775,22,74.030381
-62.949601,22,74.920775
-63.671298,22,75.810247
-61.198589,22,76.926636
-65.764304,22,77.815749
-60.749387,22,78.702152
-59.408252,22,79.591621
-60.150185,22,80.481029
-67.569718,22,81.511525
-58.138293,22,82.492727
-62.13645,22,83.38236
-58.893428,22,84.275046
-61.552794,22,85.301789
-58.514577,22,86.194774
-58.94967,22,87.086569
-58.052287,22,88.065722
-63.427565,22,88.953416
-62.179172,22,89.987428
-59.50045,22,90.878343
-63.669455,22,91.76668
-61.931617,22,92.745654
-64.162611,22,93.637985
-58.48044,22,94.67279
-62.868556,22,95.561529
-60.294517,22,96.452227
-64.242246,22,97.343521
-57.305854,22,98.465044
-59.315339,22,99.355124
-63.419689,22,100.253049
-57.410797,22,101.143385
-62.411618,22,102.031573
-64.828147,22,103.063835
-59.070283,22,104.041507
-67.160483,22,104.935948
-59.81535,22,105.825902
-60.134906,22,106.857576
-57.425964,22,107.749355
-69.025886,22,108.64267
-59.723722,22,109.621473
-63.491904,22,110.51005
-61.916418,22,111.542071
-57.145781,22,112.430421
-64.586752,22,113.318999
-57.652248,22,114.20842
-58.96387,22,115.330588
-67.501455,22,116.222804
-61.46454,22,117.11238
-58.738717,22,118.002742
-66.882114,22,118.893107
-65.682561,22,119.924693
-61.071365,22,120.899226
-60.82022,22,121.790155
-85.635121,22,122.681502
-58.352356,22,123.710757
-64.086659,22,124.601411
-59.687956,22,125.585638
-61.113518,22,126.476354
-58.568607,22,127.366175
-60.519178,22,128.399411
-57.894151,22,129.288738
-62.060706,22,130.178575
-60.714844,22,131.158195
-61.518553,22,132.188717
-60.875833,22,133.082408
-60.664942,22,133.971299
-61.276247,22,134.860036
-62.001373,22,135.751457
-59.090012,22,136.870973
-58.264478,22,137.763678
-59.194443,22,138.655649
-61.500114,22,139.545202
-63.697505,22,140.434826
-59.059102,22,141.466464
-61.266953,22,142.445726
-57.057508,22,143.336994
-60.316953,22,144.225577
-58.378802,22,145.257992
-60.267171,22,146.149682
-58.175467,22,147.040012
-58.145274,22,148.016193
-58.281715,22,148.905954
-59.521168,22,149.932112
-60.930902,22,150.827327
-60.871035,22,151.716118
-57.697438,22,152.697148
-57.867273,22,153.733261
-57.837785,22,154.621594
-58.392145,22,155.510794
-60.395801,22,156.399445
-56.659216,22,157.288841
-57.414698,22,158.408773
-59.039854,22,159.297375
-58.147589,22,160.192319
-58.360874,22,161.080676
-58.518546,22,162.10745
-60.881624,22,162.99794
-60.180846,22,163.977516
-57.597046,22,164.86604
-59.283218,22,165.754696
-58.635403,22,166.785385
-56.701924,22,167.67465
-58.657642,22,168.564345
-62.706768,22,169.543027
-61.535086,22,170.572964
-58.872205,22,171.467265
-58.589498,22,172.359043
-56.906204,22,173.248932
-57.632546,22,174.143089
-58.943802,22,175.262699
-60.35312,22,176.15025
-60.987836,22,177.040222
-61.224562,22,177.933542
-57.527598,22,178.96587
-57.903597,22,179.856294
-58.019561,22,180.832945
-61.088589,22,181.725076
-57.907832,22,182.616328
-58.861642,22,183.650514
-57.079062,22,184.543629
-58.92215,22,185.523167
-57.827166,22,186.416443
-59.785582,22,187.305748
-58.238386,22,188.338386
-57.652964,22,189.227225
-58.824833,22,190.121587
-59.561889,22,191.1017
-58.61062,22,192.132495
-59.308488,22,193.023376
-59.362839,22,193.912278
-58.399678,22,194.798916
-57.895877,22,195.689776
-59.275119,22,196.805755
-58.451623,22,197.700896
-59.631098,22,198.590811
-59.989673,22,199.48093
-58.654245,22,200.513286
-60.204636,22,201.403086
-58.207787,22,202.382608
-59.207153,22,203.27395
-58.089432,22,204.164635
-57.344885,22,205.196783
-59.012884,22,206.089986
-58.855019,22,206.984215
-58.998295,22,207.967805
-58.532548,22,208.997899
-60.062134,22,209.890192
-58.173742,22,210.779521
-59.903953,22,211.671869
-58.581285,22,212.650998
-57.701698,22,213.678897
-60.588466,22,214.577164
-57.697363,22,215.470003
-60.194931,22,216.363171
-58.353509,22,217.390553
-57.799009,22,218.369179
-60.618976,22,219.259618
-59.194606,22,220.150417
-60.517366,22,221.040382
-60.903379,22,222.074497
-62.000494,22,222.968327
-58.786325,22,223.943733
-57.733696,22,224.832743
-59.92099,22,225.866431
-58.171356,22,226.754914
-62.26955,22,227.644315
-58.518007,22,228.537581
-59.791986,22,229.514419
-57.379216,22,230.542542
-57.506186,22,231.433447
-59.880322,22,232.322329
-58.660387,22,233.220485
-57.922605,22,234.110759
-61.669969,22,235.229474
-64.996431,22,236.119219
-58.327676,22,237.008447
-59.843089,22,237.902309
-59.540128,22,238.934441
-60.830006,22,239.829672
-63.602309,22,240.808532
-58.379827,22,241.698358
-57.587289,22,242.586451
-58.735684,22,243.619663
-60.698914,22,244.50797
-58.092136,22,245.488729
-56.806428,22,246.379184
-60.234233,22,247.413156
-63.890059,22,248.301906
-62.142929,22,249.193639
-62.767949,22,250.083097
-60.003407,22,251.069437
-59.458098,22,252.101578
-61.731751,22,252.991193
-65.156515,22,253.885493
-61.974378,22,254.775444
-59.163517,22,255.804504
-62.100965,22,256.791123
-60.25869,22,257.68079
-66.337733,22,258.568718
-62.582073,22,259.457147
-71.909442,22,260.486386
-60.499375,22,261.379532
-63.878126,22,262.362124
-69.955684,22,263.251081
-63.010748,22,264.282402
-61.501981,22,265.174233
-57.982544,22,266.063977
-65.046985,22,266.954218
-64.707792,22,267.933962
-61.28629,22,268.969889
-59.230766,22,269.859501
-63.055048,22,270.748556
-60.745294,22,271.637785
-68.954633,22,272.761352
-58.192559,22,273.651071
-64.428205,22,274.538012
-60.742853,22,275.427693
-62.32213,22,276.316547
-58.457094,22,277.348155
-60.895031,22,278.332684
-57.117285,22,279.223214
-57.433311,22,280.111581
-57.500519,22,281.000877
-67.575296,22,282.03087
-58.749296,22,282.920818
-64.219609,22,283.894353
-59.475177,22,284.787615
-69.106723,22,285.819731
-63.562587,22,286.711389
-61.981046,22,287.600197
-59.747308,22,288.489027
-59.612829,22,289.47083
-59.652147,22,290.49962
-59.001589,22,291.387444
-60.33664,22,292.277763
-69.629795,22,293.170672
-57.059911,22,294.198144
-58.361396,22,295.17532
-57.497259,22,296.064667
-58.822646,22,296.953977
-59.614884,22,297.846809
-58.873331,22,298.87981
-60.029922,22,299.768822
-59.856408,22,300.74557
-60.922104,22,301.635512
-58.102054,22,302.672686
-57.899797,22,303.56754
-59.201769,22,304.459939
-56.51411,22,305.440368
-59.212357,22,306.329172
-57.250961,22,307.359756
-57.453981,22,308.253701
-60.150328,22,309.144979
-58.964602,22,310.036383
-59.261774,22,311.155098
-56.998493,22,312.048098
-58.198413,22,312.938899
-59.058431,22,313.829174
-60.603581,22,314.719468
-58.619228,22,315.749634
-65.590336,22,316.731148
-58.441699,22,317.620511
-64.570956,22,318.509901
-57.527101,22,319.539418
-60.298781,22,320.429305
-65.254058,22,321.321726
-59.156341,22,322.298926
-60.166678,22,323.189601
-62.171104,22,324.218227
-64.271626,22,325.110894
-66.07986,22,325.999726
-59.03026,22,326.888206
-58.951537,22,327.868098
-59.375541,22,328.893557
-57.476196,22,329.783569
-59.96021,22,330.674746
-58.42608,22,331.569163
-61.816901,22,332.692808
-57.338865,22,333.587082
-57.331322,22,334.477412
-62.818065,22,335.369374
-57.660555,22,336.264707
-58.242424,22,337.301215
-57.835394,22,338.281482
-56.761498,22,339.170314
-57.878577,22,340.062507
-57.786923,22,341.093339
-58.222993,22,341.984066
-56.807612,22,342.875873
-57.150785,22,343.85416
-58.644444,22,344.743709
-57.417474,22,345.775702
-59.824765,22,346.665835
-60.527707,22,347.554531
-56.953838,22,348.443159
-60.070164,22,349.561639
-57.147602,22,350.451822
-57.083747,22,351.346632
-57.635862,22,352.235948
-62.21351,22,353.129397
-58.100965,22,354.162409
-58.342816,22,355.140578
-56.589868,22,356.03009
-57.393697,22,356.9212
-58.233987,22,357.950109
-58.929805,22,358.840452
-58.103158,22,359.729962
-66.805147,22,360.708532
-57.735658,22,361.597233
-59.404814,22,362.629933
-60.744864,22,363.523437
-58.901695,22,364.412103
-59.150998,22,365.392168
-58.679175,22,366.42159
-66.352366,22,367.308785
-61.821191,22,368.198636
-59.995458,22,369.09252
-60.124046,22,369.985296
-60.670175,22,371.101856
-57.565288,22,371.997136
-59.940327,22,372.886959
-61.604096,22,373.776348
-70.750601,22,374.669116
-62.975484,22,375.700639
-60.294894,22,376.679944
-60.639551,22,377.56877
-58.887944,22,378.458272
-61.945952,22,379.492403
-58.447975,22,380.382423
-63.541181,22,381.274372
-58.620431,22,382.251936
-63.344952,22,383.141427
-58.520284,22,384.172293
-56.994728,22,385.064571
-57.949322,22,385.955336
-61.53918,22,386.850178
-57.721826,22,387.968401
-57.650219,22,388.860755
-57.141966,22,389.751025
-57.082166,22,390.647379
-59.094837,22,391.53945
-61.409732,22,392.659894
-58.469989,22,393.552993
-60.815138,22,394.44222
-60.20949,22,395.331974
-57.312229,22,396.364006
-56.783782,22,397.254669
-58.585485,22,398.238207
-57.728625,22,399.126103
-58.678921,22,400.015664
-57.354774,22,401.047131
-59.005637,22,401.937003
-58.6573,22,402.827137
-58.203659,22,403.803666
-60.702167,22,404.832575
-57.890034,22,405.726852
-56.161082,22,406.614203
-56.672437,22,407.503526
-58.557863,22,408.392717
-58.205869,22,409.509814
-57.258146,22,410.399428
-56.041102,22,411.285854
-56.970956,22,412.175251
-57.035166,22,413.207289
-58.909722,22,414.097618
-57.172715,22,415.077791
-56.372186,22,415.968599
-56.415795,22,416.859908
-57.857332,22,417.890145
-58.927813,22,418.783924
-56.995574,22,419.677161
-56.831892,22,420.652808
-57.378764,22,421.541234
-56.861038,22,422.57486
-58.066992,22,423.463149
-56.801124,22,424.358927
-57.086854,22,425.337319
-56.65209,22,426.366894
-58.017432,22,427.254885
-56.686015,22,428.145184
-58.173738,22,429.036104
-56.731112,22,429.924152
-57.085727,22,431.048115
-57.483932,22,431.937092
-57.563589,22,432.831605
-56.990532,22,433.725183
-56.453971,22,434.76009
-55.809486,22,435.648774
-56.886112,22,436.631291
-57.134873,22,437.524122
-57.428285,22,438.414585
-56.694793,22,439.446055
-56.734895,22,440.337082
-56.99307,22,441.233281
-56.411157,22,442.215603
-56.443793,22,443.245556
-56.975166,22,444.13858
-56.832761,22,445.027344
-56.928821,22,445.918645
-57.852968,22,446.809256
-57.83053,22,447.925982
-56.828628,22,448.813129
-56.488,22,449.71066
-57.038978,22,450.60119
-57.104581,22,451.631618
-57.377273,22,452.609922
-56.520532,22,453.502564
-57.120787,22,454.391768
-56.304738,22,455.282909
-58.494247,22,456.31638
-56.456106,22,457.206521
-56.831592,22,458.184562
-56.892127,22,459.072773
-56.315159,22,460.100438
-56.794585,22,460.988462
-57.421375,22,461.883365
-57.215274,22,462.774152
-57.282531,22,463.749357
-56.423805,22,464.781038
-56.809343,22,465.670213
-56.346726,22,466.560803
-57.429294,22,467.452539
-56.738148,22,468.342279
-57.049442,22,469.461148
-57.207994,22,470.354375
-57.340054,22,471.250378
-56.640379,22,472.144258
-56.524609,22,473.179739
-56.749449,22,474.073027
-56.597836,22,475.055964
-56.556296,22,475.946819
-56.649041,22,476.837546
-56.413224,22,477.867102
-56.146783,22,478.758871
-57.589471,22,479.649523
-56.243978,22,480.629724
-56.851665,22,481.666327
-57.448803,22,482.561102
-56.87434,22,483.451781
-56.836768,22,484.343606
-56.666362,22,485.331278
-57.007696,22,486.368873
-56.196745,22,487.260119
-56.347296,22,488.150004
-56.607912,22,489.038703
-56.71697,22,490.069156
-56.880014,22,491.052033
-56.635049,22,491.94304
-56.727823,22,492.830878
-56.497835,22,493.719743
-56.925748,22,494.756541
-56.760916,22,495.645403
-56.589563,22,496.626108
-57.013227,22,497.516403
-56.89475,22,498.548579
-56.330042,22,499.439931
-55.964552,22,500.334645
-57.271544,22,501.225667
-56.353864,22,502.204847
-58.053988,22,503.235686
-57.379749,22,504.129116
-56.006268,22,505.018939
-56.795795,22,505.913115
-56.762635,22,506.945301
-56.628679,22,507.922462
-56.229649,22,508.815137
-56.22121,22,509.705274
-56.418865,22,510.598303
-56.138651,22,511.634394
-56.053049,22,512.610277
-56.939713,22,513.497437
-57.600886,22,514.393199
-56.384432,22,515.283
-56.255985,22,516.316576
-56.769995,22,517.20541
-56.061305,22,518.185728
-57.170649,22,519.076048
-56.576374,22,520.103768
-56.922859,22,520.997339
-56.595579,22,521.887189
-57.281413,22,522.777936
-56.733098,22,523.755812
-56.836387,22,524.789661
-56.364672,22,525.681842
-57.22786,22,526.573067
-57.095541,22,527.465523
-56.423023,22,528.499981
-56.944512,22,529.481797
-56.610575,22,530.373492
-57.243834,22,531.264794
-56.380124,22,532.154981
-56.536662,22,533.187726
-56.039109,22,534.081297
-57.045579,22,535.063347
-56.840499,22,535.952095
-56.559484,22,536.98693
-57.37354,22,537.877197
-56.897027,22,538.765897
-57.107897,22,539.659649
-57.498964,22,540.641734
-57.533003,22,541.670618
-56.934525,22,542.559056
-56.248693,22,543.45234
-55.96083,22,544.343182
-56.429852,22,545.462781
-56.625864,22,546.352905
-57.280203,22,547.247573
-56.772708,22,548.137518
-56.446802,22,549.029109
-56.577593,22,550.061098
-56.967424,22,551.043307
-57.143563,22,551.935614
-56.152625,22,552.833649
-57.525609,22,553.867936
-57.091172,22,554.755774
-57.694623,22,555.646589
-57.165046,22,556.625679
-56.631527,22,557.515029
-56.348436,22,558.540962
-57.064952,22,559.429907
-56.702725,22,560.325217
-57.051715,22,561.214018
-57.355976,22,562.195932
-58.143914,22,563.223612
-57.023166,22,564.118457
-56.387586,22,565.008245
-57.073652,22,565.898584
-56.190692,22,566.934633
-57.422809,22,567.91311
-56.446545,22,568.801917
-56.756313,22,569.690377
-57.331367,22,570.579153
-56.573861,22,571.613431
-56.55305,22,572.592887
-56.291474,22,573.484876
-57.580474,22,574.374089
-56.758656,22,575.411735
-56.670787,22,576.302307
-57.036419,22,577.196624
-56.737838,22,578.177673
-56.848985,22,579.066843
-57.497418,22,580.10591
-56.570161,22,580.995904
-58.056007,22,581.887538
-56.872046,22,582.7818
-57.419197,22,583.902083
-56.818554,22,584.794354
-56.499263,22,585.68727
-56.327376,22,586.576091
-56.572517,22,587.464964
-57.041822,22,588.498388
-57.292207,22,589.47982
-58.250152,22,590.368361
-56.922,22,591.259284
-57.1531,22,592.289652
-57.062454,22,593.181421
-57.151977,22,594.071395
-57.603205,22,595.050053
-57.425857,22,595.939031
-57.982367,22,596.974251
-57.017303,22,597.865503
-57.601915,22,598.754639
-58.232198,22,599.646264
-56.985477,22,600.76433
-57.758781,22,601.657288
-57.239502,22,602.548661
-56.953585,22,603.436997
-58.96524,22,604.326084
-56.915769,22,605.449224
-57.005304,22,606.340108
-57.946651,22,607.231817
-59.043936,22,608.120964
-57.989114,22,609.017037
-57.995195,22,610.051655
-56.772272,22,611.027345
-58.984057,22,611.924118
-59.57903,22,612.812603
-61.34162,22,613.849118
-57.929615,22,614.735226
-56.905785,22,615.623527
-58.743976,22,616.604287
-57.554428,22,617.495217
-57.330428,22,618.529264
-57.53597,22,619.416579
-57.718171,22,620.307449
-58.295358,22,621.196216
-57.534369,22,622.31643
-57.810518,22,623.210119
-57.668091,22,624.101106
-57.865834,22,624.991987
-59.075786,22,625.880711
-59.294252,22,626.910948
-58.181874,22,627.886975
-57.302731,22,628.77992
-61.932536,22,629.669241
-57.401393,22,630.701864
-58.109293,22,631.592156
-58.218026,22,632.571286
-58.414948,22,633.464162
-58.424811,22,634.35352
-57.753775,22,635.385695
-57.033132,22,636.276536
-58.310122,22,637.164922
-57.920567,22,638.14321
-58.960319,22,639.171696
-58.834079,22,640.061108
-57.286965,22,640.956437
-59.81105,22,641.847237
-58.339523,22,642.737082
-57.772913,22,643.857754
-59.577886,22,644.75104
-57.404089,22,645.641602
-57.539589,22,646.530951
-58.543245,22,647.561642
-56.948845,22,648.454813
-57.485469,22,649.435707
-57.610359,22,650.326051
-58.464819,22,651.214931
-58.792131,22,652.250595
-59.193547,22,653.139342
-58.814502,22,654.030519
-57.334894,22,655.007982
-58.080529,22,655.898214
-59.085679,22,656.933001
-57.425482,22,657.827342
-57.941537,22,658.716528
-58.530233,22,659.605827
-57.564801,22,660.723637
-56.621802,22,661.612414
-56.82314,22,662.503222
-58.162916,22,663.397847
-57.659618,22,664.288964
-60.151448,22,665.411809
-56.830995,22,666.30421
-57.896935,22,667.194963
-57.113141,22,668.084456
-56.705554,22,669.117023
-57.45786,22,670.006926
-57.995796,22,670.985574
-57.738922,22,671.87518
-58.740411,22,672.763718
-57.571723,22,673.796375
-56.610455,22,674.688153
-57.329874,22,675.577261
-60.622418,22,676.556907
-56.941628,22,677.588247
-59.275827,22,678.480161
-58.09644,22,679.369015
-61.306786,22,680.258718
-59.868154,22,681.14661
-60.429401,22,682.264042
-59.126889,22,683.153205
-63.016238,22,684.04983
-58.911559,22,684.941095
-58.873224,22,685.971594
-57.887713,22,686.862475
-60.98438,22,687.838728
-66.219963,22,688.730929
-63.397134,22,689.620256
-58.634513,22,690.654866
-59.537518,22,691.543569
-60.318735,22,692.523591
-60.732734,22,693.413449
-63.860691,22,694.444583
-61.104875,22,695.337216
-59.083644,22,696.227555
-59.91996,22,697.116345
-62.07218,22,698.095578
-59.266649,22,699.123748
-62.11307,22,700.012683
-58.633984,22,700.906064
-61.340128,22,701.794352
-61.808282,22,702.68568
-63.555706,22,703.799777
-60.260383,22,704.692495
-59.052055,22,705.584835
-62.561111,22,706.478564
-57.275016,22,707.511524
-62.170092,22,708.40286
-62.621367,22,709.382682
-63.08271,22,710.272656
-65.2616,22,711.15973
-66.720995,22,712.188417
-64.248681,22,713.082668
-58.514442,22,713.971522
-58.510747,22,714.95227
-58.244103,22,715.986039
-58.311654,22,716.877854
-59.038767,22,717.767557
-58.538523,22,718.658514
-60.272619,22,719.548563
-59.854097,22,720.673394
-61.561266,22,721.56252
-64.538169,22,722.454597
-60.247336,22,723.350484
-59.263807,22,724.381304
-67.196213,22,725.361468
-59.246067,22,726.255014
-60.700127,22,727.146571
-69.076137,22,728.044082
-62.72947,22,729.07889
-60.161098,22,729.968216
-61.907548,22,730.950962
-62.399243,22,731.841219
-67.339477,22,732.867867
-61.730184,22,733.762952
-63.08457,22,734.652671
-63.617425,22,735.540419
-63.624031,22,736.526985
-59.204105,22,737.559593
-67.407255,22,738.44978
-65.289467,22,739.339627
-69.27959,22,740.233423
-59.077574,22,741.261551
-58.504579,22,742.243483
-62.48257,22,743.132849
