#{"t_start": 1726639435.5458586, "env_id": "None"}
r,l,t
22.005956,22,1.074138
21.703541,22,1.96187
22.017918,22,2.850221
139.406715,140,9.97832
125.352561,126,15.676128
16.707359,17,16.35515
68.986964,69,19.502557
56.97729,57,21.774869
50.708227,51,24.31672
73.376596,73,27.23329
16.662735,17,28.313241
75.967679,76,31.446312
153.422557,154,38.522625
134.50023,135,44.545171
34.988941,35,46.516435
23.010639,23,47.535322
55.995365,56,49.779238
135.897899,136,56.430069
35.05776,35,57.840498
25.736708,26,58.975244
44.664012,45,61.165602
16.995527,17,61.85306
33.70042,34,63.22742
34.04514,34,65.220516
95.002313,95,69.481057
22.000775,22,70.474714
200.819797,201,79.52963
33.055408,33,80.862232
176.828399,177,88.885104
122.982539,123,94.328596
190.761074,191,102.748427
62.047988,62,105.58979
200.381151,201,114.336682
92.972293,93,118.564521
83.596453,84,122.325898
200.710036,201,131.072534
26.030019,26,132.118156
200.813635,201,140.943441
200.564934,201,149.701881
200.216972,201,158.382148
200.305097,201,167.086167
200.342962,201,175.628189
200.459389,201,184.376434
200.640183,201,193.117234
200.163326,201,201.810397
200.237486,201,210.522557
200.379451,201,219.086846
200.51487,201,227.800064
200.537629,201,236.635329
200.502282,201,245.706725
200.353947,201,254.4139
200.157934,201,263.153812
200.288463,201,271.921044
200.127456,201,280.563767
200.384332,201,289.252087
200.248883,201,297.799567
200.71789,201,306.472662
200.403761,201,315.044138
48.574308,49,317.394724
200.560537,201,326.206359
200.739464,201,335.085123
92.963189,93,338.919928
200.581832,201,347.637285
200.394768,201,356.46526
200.596809,201,365.131178
200.691379,201,373.86016
200.506743,201,382.775826
200.582063,201,391.634979
200.492218,201,400.583421
200.85727,201,409.285655
34.045506,34,410.657412
200.62522,201,419.61573
200.805805,201,428.713163
182.114631,182,437.045134
201.054456,201,446.283628
182.073291,182,454.456101
200.883264,201,463.475897
200.904121,201,472.455914
137.084915,137,479.041566
48.066613,48,481.067017
200.958705,201,491.309584
140.866882,141,498.84394
200.809396,201,508.194927
44.815057,45,510.009996
201.075427,201,519.34925
134.601461,135,526.155811
193.536965,194,535.617548
200.894225,201,545.098567
200.555308,201,553.977825
200.617341,201,562.676066
200.475927,201,571.364609
200.480655,201,579.95363
200.355078,201,588.604966
200.367062,201,597.186826
200.827863,201,605.883768
200.682283,201,614.463341
200.320425,201,623.124335
200.203327,201,631.743148
200.278946,201,640.256733
199.932965,201,648.809835
200.233648,201,657.300291
200.872936,201,665.951133
39.570278,40,667.565978
200.662905,201,676.217362
200.81608,201,684.785358
200.006987,201,693.437994
200.680977,201,701.9957
200.792163,201,710.656977
200.096246,201,719.294657
200.56006,201,727.826826
200.646476,201,736.414915
200.499176,201,744.897173
199.741939,201,753.48264
200.146461,201,761.959435
200.592699,201,770.502187
31.603678,32,771.931331
36.601112,37,773.51631
200.478373,201,781.965822
103.734038,104,786.403234
200.560902,201,795.001973
35.622471,36,796.454815
163.969507,164,803.464791
22.711511,23,804.393404
200.545719,201,813.056451
200.467956,201,821.598598
200.173512,201,830.238107
154.792156,155,836.938731
200.448847,201,845.643011
200.452682,201,854.203698
200.22984,201,862.889133
200.378334,201,871.497967
200.22734,201,880.138607
200.502855,201,888.778955
200.407899,201,897.343709
200.642428,201,906.022838
200.331211,201,914.577396
200.243973,201,923.215037
200.597745,201,931.744093
200.411856,201,940.353118
200.144537,201,948.988175
200.392312,201,957.53247
199.959474,201,966.147044
200.468702,201,974.686209
200.663764,201,983.378327
200.687914,201,992.080317
200.69155,201,1000.853482
200.731012,201,1009.622521
200.624101,201,1018.234274
200.688892,201,1026.968405
200.624481,201,1035.600353
200.575828,201,1044.292321
200.366547,201,1052.86181
200.213879,201,1061.536762
200.214805,201,1070.212092
200.658089,201,1078.8795
200.594692,201,1087.585284
200.507583,201,1096.192286
200.382649,201,1104.898605
200.349391,201,1113.535269
200.514169,201,1122.239851
200.494087,201,1130.882522
38.669154,39,1132.622539
31.04004,31,1133.869367
200.502819,201,1142.487279
117.831792,118,1147.492465
200.63288,201,1156.036664
200.588329,201,1164.672011
26.691341,27,1165.763158
28.696388,29,1167.094833
200.248804,201,1175.698849
200.21382,201,1184.207208
30.652825,31,1185.549652
200.091101,201,1194.052909
200.585828,201,1202.663596
200.286244,201,1211.190577
38.039593,38,1212.816762
200.419938,201,1221.362686
200.334138,201,1230.014061
30.666963,31,1231.425024
200.324742,201,1240.046042
200.422995,201,1248.556496
200.424422,201,1257.202108
200.49091,201,1265.758517
200.117549,201,1274.391394
200.409444,201,1282.982195
200.526221,201,1291.740686
200.623221,201,1300.518387
200.507397,201,1309.161218
200.665711,201,1317.891034
200.717757,201,1326.581153
200.502031,201,1335.353755
200.743292,201,1344.096125
200.413758,201,1352.883101
200.657288,201,1361.684189
200.926162,201,1370.388196
200.426932,201,1379.145343
200.71024,201,1387.877931
