#{"t_start": 1726666134.1977136, "env_id": "None"}
r,l,t
-19.24731,5,0.222208
-10.820096,1,0.262908
-2.580666,19,1.034103
-9.469051,1,1.074279
-10.878943,1,1.114951
-11.713467,2,1.195304
-11.420708,1,1.23558
-7.318841,1,1.276275
0.992874,9,1.638169
-6.842357,2,1.719037
-10.820096,1,1.759689
-5.602933,1,1.800388
-18.962898,5,2.001342
-16.992262,11,2.444319
-16.438088,3,2.564848
-23.778451,4,2.727071
-16.181642,3,2.848087
-9.304611,1,2.888263
-11.420708,1,2.929408
-18.130814,4,3.089615
-10.820096,1,3.129791
-31.27248,19,3.894835
-13.055727,5,4.169111
-14.667932,2,4.249335
-30.672271,13,4.771855
-34.120238,10,5.174994
-10.725652,2,5.255319
-5.602933,1,5.390712
-18.058306,5,5.593261
-11.506852,2,5.67496
-10.820096,1,5.715136
-15.721959,3,5.835583
-11.420708,1,5.87576
-9.304611,1,5.915939
-11.420708,1,5.956111
-19.371466,26,7.006361
-7.976198,2,7.087165
-18.142144,10,7.490366
-11.420708,1,7.530046
-17.563987,3,7.65107
7.313719,8,7.97347
-13.199742,2,8.05435
-14.821545,6,8.352947
-13.187276,6,8.594084
-9.841432,3,8.71508
-13.699237,2,8.795958
-30.424845,12,9.279873
-4.289261,22,10.166625
-11.713467,2,10.24825
-8.584832,2,10.328632
-13.802319,2,10.40948
-12.043462,2,10.489834
-5.602933,1,10.530503
3.627225,8,10.9461
-10.820096,1,10.986277
-7.318841,1,11.026921
-13.59419,4,11.189189
-9.824256,3,11.30969
-9.304611,1,11.349865
-9.841432,3,11.471954
-13.699237,2,11.552802
-10.820096,1,11.593474
-13.905384,3,11.714498
-5.602933,1,11.754673
-7.318841,1,11.794849
-9.304611,1,11.835026
-11.649612,5,12.034913
-22.139306,5,12.23786
-11.713467,2,12.318213
-10.878943,1,12.358884
-40.273895,25,13.421944
-20.201431,6,13.665926
-11.506852,2,13.746269
-13.25636,2,13.826605
-14.582088,2,13.907482
-10.140759,3,14.028048
-10.820096,1,14.068216
-11.713467,2,14.14854
-5.602933,1,14.189236
-23.066359,9,14.553276
-9.304611,1,14.593451
-10.619464,4,14.754179
-18.141816,16,15.402069
-17.371747,3,15.52187
-8.511421,13,16.140174
-12.370824,3,16.261724
-9.469051,1,16.301898
-26.108437,10,16.753149
-23.009394,9,17.114841
-8.584832,2,17.195689
-9.304611,1,17.236361
-24.461639,10,17.638911
10.106706,10,18.041742
-25.566742,19,18.812026
-35.311436,10,19.221787
-9.469051,1,19.261957
-16.1355,3,19.384995
-11.420708,1,19.426111
-14.430227,3,19.54763
7.821416,17,20.234015
-31.065595,23,21.216681
-9.304611,1,21.257313
-8.584832,2,21.432583
-10.878943,1,21.473158
-19.503395,12,21.959176
-10.878943,1,22.000323
0.278957,23,22.927968
-12.861665,13,23.452323
-2.866932,12,23.935466
-10.878943,1,23.975668
-22.178897,3,24.096733
-26.575646,18,24.820257
-13.699237,2,24.901098
-15.637971,3,25.072392
-10.878943,1,25.113065
-17.77847,6,25.3571
-18.677666,5,25.558444
-11.713467,2,25.639789
-9.304611,1,25.679994
-15.924532,3,25.801515
-12.556998,13,26.325755
4.380943,11,26.867089
-14.439166,3,26.988085
-22.645522,7,27.26984
-5.411374,24,28.237494
-7.658549,3,28.358494
-5.602933,1,28.398669
-10.878943,1,28.438845
-17.154168,5,28.639724
-12.043462,2,28.720572
-0.088442,13,29.305469
-16.177575,23,30.231445
-13.25636,2,30.312259
-14.582088,2,30.393632
7.614475,7,30.675354
-11.713467,2,30.756701
-9.304611,1,30.797344
-13.59419,4,30.958591
-9.469051,1,30.999291
-10.878943,1,31.039467
-10.937112,3,31.160271
-44.313498,27,32.338825
-5.735258,13,32.865549
-24.284313,19,33.68462
-20.248452,5,33.886949
-7.976198,2,33.967659
-7.381749,9,34.330622
-13.25636,2,34.411961
-11.071127,13,34.936667
-5.602933,1,34.977338
-10.725652,2,35.05769
-9.304611,1,35.097866
-7.318841,1,35.138043
-9.469051,1,35.178739
-10.820096,1,35.218891
-13.25636,2,35.299242
1.314038,11,35.742665
-9.469051,1,35.782841
-10.140759,3,35.904772
-26.167343,7,36.187598
-11.713467,2,36.26798
-5.636834,11,36.712389
-10.878943,1,36.753333
-11.713467,2,36.833656
-16.679768,4,36.994881
-18.125345,9,37.451919
-10.878943,1,37.546362
5.776122,6,37.788098
-9.304611,1,37.828274
-3.262164,12,38.312842
-19.897126,6,38.555727
1.299584,12,39.03926
-12.069732,2,39.120111
-11.506852,2,39.201419
-5.602933,1,39.241626
0.709278,8,39.564522
-9.469051,1,39.604696
-13.138773,7,39.887386
-6.842357,2,39.967242
-27.700426,8,40.291032
-11.713467,2,40.371384
-0.447729,11,40.815627
-2.283275,12,41.299858
-33.054194,27,42.444775
-9.469051,1,42.484946
-6.842357,2,42.565844
4.522793,10,43.061113
2.253411,7,43.344197
4.304059,6,43.586276
7.032722,5,43.787624
-13.199742,2,43.869464
-3.79564,9,44.232563
-2.236345,16,44.878327
-1.368075,7,45.162262
-12.02164,6,45.405998
3.583497,10,45.862996
-5.602933,1,45.903552
-2.258037,11,46.348378
2.442483,12,46.832065
-4.294743,14,47.396565
-5.602933,1,47.437239
15.938587,16,48.176852
4.570401,6,48.418853
4.366207,7,48.700084
7.032722,5,48.901956
0.469013,10,49.307678
-10.820096,1,49.348384
4.25147,7,49.630608
-11.380183,4,49.791745
2.846836,8,50.168245
-9.304611,1,50.208484
5.183575,5,50.409362
5.019664,7,50.690954
5.242754,5,50.892357
-10.878943,1,50.933001
-10.511298,5,51.133881
6.134121,7,51.416016
-17.062684,4,51.578686
-10.820096,1,51.619349
-16.042845,14,52.18231
6.747818,6,52.424872
-6.842357,2,52.505742
-11.420708,1,52.547244
6.424206,11,52.990166
-6.111942,5,53.19303
1.027794,7,53.569192
8.570319,7,53.851991
-8.191899,4,54.013187
5.242754,5,54.265548
5.979809,6,54.50965
-0.041128,10,54.915089
0.190625,10,55.318536
-11.420708,1,55.358714
-12.043462,2,55.43857
-11.420708,1,55.47924
-12.069732,2,55.561053
5.227288,7,55.841322
5.913685,7,56.125481
1.122659,13,56.650821
7.032722,5,56.853335
2.943528,8,57.175735
5.507239,8,57.498454
5.242754,5,57.69884
7.032722,5,57.902714
5.183575,5,58.103989
-7.588475,3,58.275605
-1.368075,7,58.561315
6.550684,6,58.900688
3.960209,6,59.141921
-2.852182,7,59.424172
0.092318,6,59.66768
6.340613,5,59.869883
-5.602933,1,59.910059
7.178592,5,60.112033
-9.304611,1,60.152208
5.776409,6,60.394257
-7.649916,4,60.555391
