#{"t_start": 1726673960.586113, "env_id": "None"}
r,l,t
-201.0,201,11.327661
-201.0,201,22.730545
-201.0,201,34.057658
-201.0,201,45.441972
-201.0,201,56.736559
-201.0,201,68.132239
-201.0,201,79.41226
-201.0,201,90.81836
-201.0,201,102.21646
-201.0,201,113.57169
-201.0,201,124.970264
-201.0,201,136.254503
-201.0,201,147.64338
-201.0,201,158.934549
-201.0,201,170.341577
-201.0,201,181.752294
-201.0,201,193.109797
-201.0,201,204.474839
-201.0,201,215.773415
-201.0,201,227.15394
-201.0,201,238.465519
-201.0,201,249.841431
-201.0,201,261.206944
-201.0,201,272.52297
-201.0,201,283.941486
-201.0,201,295.265507
-201.0,201,306.646746
-201.0,201,317.94183
-201.0,201,329.317265
-201.0,201,340.684675
-201.0,201,351.968339
-201.0,201,363.357123
-201.0,201,374.616413
-201.0,201,386.005124
-201.0,201,397.303847
-201.0,201,408.677812
-201.0,201,420.084585
-201.0,201,431.391573
-201.0,201,442.766591
-201.0,201,454.03914
-201.0,201,465.411954
-201.0,201,476.718227
-201.0,201,488.105964
-201.0,201,499.475504
-201.0,201,510.756788
-201.0,201,522.214277
-201.0,201,533.491757
-201.0,201,544.884706
-201.0,201,556.197054
-201.0,201,567.58067
-201.0,201,578.980079
-201.0,201,590.265796
-201.0,201,601.664717
-201.0,201,612.980312
-201.0,201,624.3932
-201.0,201,635.704032
-201.0,201,647.158619
-201.0,201,658.556926
-201.0,201,669.882543
-201.0,201,681.2769
-201.0,201,692.583974
-201.0,201,703.987054
-201.0,201,715.275539
-201.0,201,726.665943
-201.0,201,738.042942
-201.0,201,749.362594
-201.0,201,760.800447
-201.0,201,772.203326
-201.0,201,783.609242
-201.0,201,794.937647
-201.0,201,806.317946
-201.0,201,817.738379
-201.0,201,829.051237
-201.0,201,840.477893
-201.0,201,851.770091
-201.0,201,863.163798
-201.0,201,874.463882
-201.0,201,885.888362
-201.0,201,897.272707
-201.0,201,908.571117
-201.0,201,919.968385
-201.0,201,931.306099
-201.0,201,942.722198
-201.0,201,954.031205
-201.0,201,965.395666
-201.0,201,976.810715
-201.0,201,988.140581
-201.0,201,999.528516
-201.0,201,1010.82534
-201.0,201,1022.209264
-201.0,201,1033.498942
-201.0,201,1044.915191
-201.0,201,1056.289593
-201.0,201,1067.585243
-201.0,201,1078.963667
-201.0,201,1090.267162
-201.0,201,1101.635137
-201.0,201,1112.919044
-201.0,201,1124.324813
-201.0,201,1135.713355
-201.0,201,1148.500542
-201.0,201,1159.87742
-201.0,201,1171.158604
-201.0,201,1182.607724
-201.0,201,1193.893901
-201.0,201,1205.273727
-201.0,201,1216.67893
-201.0,201,1227.986479
-201.0,201,1239.393743
-201.0,201,1250.710586
-201.0,201,1262.117162
-201.0,201,1273.422861
-201.0,201,1284.788142
-201.0,201,1296.171843
-201.0,201,1307.489043
-201.0,201,1318.847754
-201.0,201,1330.185799
-201.0,201,1341.57352
-201.0,201,1352.853749
-201.0,201,1364.229687
-201.0,201,1375.604352
-201.0,201,1386.882752
-201.0,201,1398.305866
-201.0,201,1409.632882
-201.0,201,1421.028656
-201.0,201,1432.322267
-201.0,201,1443.702879
-201.0,201,1455.013426
-201.0,201,1466.397962
-201.0,201,1477.797447
-201.0,201,1489.097471
-201.0,201,1500.489509
-201.0,201,1511.780436
-201.0,201,1523.191252
-201.0,201,1534.524257
-201.0,201,1545.899541
-201.0,201,1557.30882
-201.0,201,1568.599282
-201.0,201,1579.992543
-201.0,201,1591.318376
-201.0,201,1602.754685
-201.0,201,1614.04865
-201.0,201,1625.439234
-201.0,201,1636.808865
-201.0,201,1648.090501
-201.0,201,1659.446841
-201.0,201,1670.766424
-201.0,201,1682.188132
-201.0,201,1693.48822
-201.0,201,1704.900443
-201.0,201,1716.316493
-201.0,201,1727.60059
-201.0,201,1738.997704
-201.0,201,1750.315617
-201.0,201,1761.688989
-201.0,201,1772.989061
-201.0,201,1784.351946
-201.0,201,1795.747699
-201.0,201,1807.030114
-201.0,201,1818.40651
-201.0,201,1829.704281
-201.0,201,1841.103845
-201.0,201,1852.388813
-201.0,201,1863.780995
-201.0,201,1875.184399
-201.0,201,1886.479953
-201.0,201,1897.881629
-201.0,201,1909.198521
-201.0,201,1920.604337
-201.0,201,1931.903893
-201.0,201,1943.272219
-201.0,201,1954.671382
-201.0,201,1965.966808
-201.0,201,1977.344007
-201.0,201,1988.626513
-201.0,201,2000.03693
-201.0,201,2011.338332
-201.0,201,2022.720007
-201.0,201,2034.128289
-201.0,201,2045.444923
-201.0,201,2056.849017
-201.0,201,2068.136733
-201.0,201,2079.557102
-201.0,201,2090.843428
-201.0,201,2102.240461
-201.0,201,2113.627212
-201.0,201,2124.933769
-201.0,201,2136.321657
-201.0,201,2147.616445
-201.0,201,2159.017048
-201.0,201,2170.32644
-201.0,201,2181.708242
-201.0,201,2193.084718
-201.0,201,2204.388331
-201.0,201,2215.783127
-201.0,201,2227.106111
-201.0,201,2238.471322
-201.0,201,2249.787461
-201.0,201,2261.173356
-201.0,201,2272.566728
-201.0,201,2285.387537
-201.0,201,2296.741531
-201.0,201,2308.059589
-201.0,201,2319.439777
-201.0,201,2330.726894
-201.0,201,2342.131917
-201.0,201,2353.52538
-201.0,201,2364.814515
-201.0,201,2376.197541
-201.0,201,2387.476238
-201.0,201,2398.877182
-201.0,201,2410.140076
-201.0,201,2421.550226
-201.0,201,2432.939366
-201.0,201,2444.234192
-201.0,201,2455.601373
-201.0,201,2466.888071
-201.0,201,2478.274303
-201.0,201,2489.58428
-201.0,201,2500.979616
-201.0,201,2512.39113
-201.0,201,2523.709513
-201.0,201,2535.105758
-201.0,201,2546.388284
-201.0,201,2557.799155
-201.0,201,2569.099018
-201.0,201,2580.480763
-201.0,201,2591.875841
-201.0,201,2603.188943
-201.0,201,2614.562266
-201.0,201,2625.830631
-201.0,201,2637.20677
-201.0,201,2648.502659
-201.0,201,2659.908791
