#{"t_start": 1726646701.467366, "env_id": "None"}
r,l,t
-53.731253,52,2.207975
-51.943497,52,4.938687
-48.920171,52,7.247869
-51.848002,52,9.748433
-48.752516,52,11.924973
-51.29531,52,14.433053
-53.196106,52,16.522264
-47.837687,52,19.105024
-53.789711,52,21.205456
-58.769247,52,23.78259
-51.179225,52,25.873384
-49.388285,52,28.363886
-55.521813,52,30.556243
-53.405332,52,33.043702
-53.898407,52,35.231127
-51.190433,52,37.714602
-50.620939,52,39.813124
-52.494244,52,42.395415
-47.531462,52,44.493352
-58.326829,52,47.077475
-54.523417,52,49.175917
-50.262027,52,51.664245
-56.148287,52,53.844457
-50.301249,52,56.346265
-57.192227,52,58.538832
-51.414432,52,61.027199
-51.75935,52,63.522247
-54.23893,52,65.707744
-40.708069,52,68.198426
-38.804007,52,70.388785
-51.122824,52,72.879563
-50.004832,52,74.979016
-52.820873,52,77.562393
-37.935846,52,79.660262
-43.808746,52,82.242467
-46.937686,52,84.341945
-52.86977,52,86.946602
-53.554088,52,89.021032
-39.968044,52,91.489641
-49.369201,52,93.657157
-55.441246,52,96.132531
-51.490737,52,98.295182
-57.001776,52,100.762425
-53.422427,52,102.836024
-56.73472,52,105.394455
-53.921883,52,107.464921
-51.004784,52,110.024113
-55.273699,52,112.100284
-47.720341,52,114.573344
-57.15263,52,116.738005
-55.026706,52,119.2299
-57.478726,52,121.789365
-53.255683,52,123.859318
-57.37995,52,126.325121
-52.919591,52,128.485094
-49.795832,52,130.956657
-50.722587,52,133.122336
-43.166072,52,135.589021
-50.497882,52,137.663221
-51.849881,52,140.229154
-52.792117,52,142.300198
-53.55602,52,144.851493
-54.005532,52,146.927647
-54.79727,52,149.391103
-44.542437,52,151.557012
-52.739781,52,154.018832
-56.06358,52,156.177979
-52.718212,52,158.644852
-50.243588,52,160.813993
-49.026821,52,163.275468
-51.90352,52,165.352707
-41.263245,52,167.911819
-47.806118,52,169.986156
-53.19254,52,172.549826
-48.667286,52,174.621642
-46.089673,52,177.087051
-53.98409,52,179.636861
-57.953951,52,181.714873
-38.736983,52,184.26822
-48.80296,52,186.340874
-50.72821,52,188.808515
-51.211236,52,190.974944
-55.556157,52,193.449128
-41.36238,52,195.61987
-59.636951,52,198.088266
-43.246557,52,200.162617
-49.201228,52,202.7184
-49.072064,52,204.792315
-49.741036,52,207.352747
-51.707676,52,209.427775
-54.429345,52,211.895434
-52.348189,52,214.074759
-51.232138,52,216.539237
-50.698988,52,218.710927
