#{"t_start": 1726593032.4449987, "env_id": "None"}
r,l,t
-7.603557,22,1.092957
-17.503776,22,1.971784
-51.295935,22,2.853614
-15.164464,22,3.732837
-10.403046,22,4.786387
-12.432959,22,6.115201
-13.334463,22,7.001095
-15.913349,22,7.883914
-10.743089,22,8.766298
-9.048055,22,9.800585
-6.829846,22,10.686481
-10.170713,22,11.658634
-9.412384,22,12.542773
-21.958505,22,13.579721
-7.885761,22,14.465919
-13.264237,22,15.346172
-13.734895,22,16.224444
-8.612571,22,17.189137
-9.934792,22,18.219908
-9.320691,22,19.107204
-12.234653,22,19.997595
-12.300366,22,20.880409
-16.172871,22,21.897784
-15.927125,22,22.865945
-7.157899,22,23.752613
-9.569773,22,24.636448
-10.178116,22,25.524186
-19.827501,22,26.55002
-10.257723,22,27.431384
-10.315548,22,28.404381
-11.467628,22,29.289472
-11.65772,22,30.322427
-11.412389,22,31.202941
-9.076315,22,32.090487
-10.56437,22,33.068615
-9.91309,22,33.949586
-9.635248,22,34.985752
-8.582829,22,35.871961
-10.787382,22,36.760072
-8.949146,22,37.647038
-13.237867,22,38.763728
-10.168129,22,39.654184
-7.50524,22,40.54317
-8.095084,22,41.428371
-7.286321,22,42.315588
-9.811988,22,43.34288
-9.813281,22,44.317538
-9.443367,22,45.20931
-9.215096,22,46.095553
-8.541492,22,46.98572
-10.105083,22,48.021399
-7.745406,22,48.910104
-8.984767,22,49.884626
-8.804045,22,50.767444
-10.936077,22,51.79058
-9.535304,22,52.676574
-10.60407,22,53.565657
-9.755584,22,54.450987
-8.051726,22,55.420693
-7.919519,22,56.459442
-10.253457,22,57.345395
-7.424255,22,58.233629
-10.758251,22,59.122181
-10.633512,22,60.145422
-10.487796,22,61.121195
-10.060678,22,62.003578
-12.314087,22,62.889348
-10.195919,22,63.776196
-5.868632,22,64.802452
-11.264988,22,65.774035
-9.21015,22,66.656836
-7.110524,22,67.544156
-6.563208,22,68.570129
-12.601697,22,69.454988
-8.719342,22,70.342333
-8.226327,22,71.319035
-9.252066,22,72.202929
-11.651804,22,73.22559
-9.994846,22,74.108464
-9.997498,22,74.996873
-9.052541,22,75.885556
-9.503807,22,77.002803
-10.711623,22,77.890604
-9.678131,22,78.777336
-10.332755,22,79.66429
-8.828987,22,80.554259
-8.381586,22,81.580233
-8.443469,22,82.549632
-6.684099,22,83.432482
-9.557115,22,84.321844
-9.220209,22,85.349391
-8.873897,22,86.236387
-6.705419,22,87.120865
-9.589499,22,88.097251
-10.394182,22,88.980196
-10.394621,22,90.003031
-9.654036,22,90.887404
-9.077655,22,91.775239
-7.959084,22,92.750891
-10.172424,22,93.634517
-10.959697,22,94.666709
-8.762684,22,95.555379
-6.517243,22,96.443676
-10.129503,22,97.331516
-9.836222,22,98.448784
-9.573711,22,99.335101
-9.277268,22,100.22367
-10.396371,22,101.110842
-9.006162,22,102.000208
-11.159,22,103.021908
-7.354572,22,103.996162
-9.38126,22,104.878935
-8.188465,22,105.767314
-8.5855,22,106.79164
-7.612506,22,107.676165
-12.05629,22,108.565342
-12.038956,22,109.537513
-8.452966,22,110.420938
-12.116563,22,111.445116
-11.290958,22,112.332458
-9.304111,22,113.219078
-10.250686,22,114.106247
-10.1889,22,115.222559
-9.563381,22,116.110342
-7.472294,22,116.999656
-10.833371,22,117.888518
-16.02945,22,118.774726
-9.048923,22,119.79774
-10.553931,22,120.778365
-7.767859,22,121.66736
-8.599107,22,122.555196
-9.753223,22,123.581916
-8.448766,22,124.465675
-10.720904,22,125.442174
-12.402975,22,126.328157
-11.308495,22,127.212002
-8.609917,22,128.236771
-11.662587,22,129.122207
-11.452538,22,130.008553
-7.131642,22,130.983389
-11.142484,22,132.005823
-11.033621,22,132.887275
-12.047133,22,133.775613
-10.143837,22,134.663927
-11.672047,22,135.551197
-9.318374,22,136.667692
-9.926594,22,137.558978
-10.831298,22,138.444337
-10.05942,22,139.331477
-14.539457,22,140.219086
-11.958806,22,141.242454
-8.821576,22,142.213762
-10.127086,22,143.098068
-10.12878,22,143.985913
-8.764861,22,145.014616
-8.484472,22,145.903335
-7.423137,22,146.788234
-9.166336,22,147.765764
-12.733753,22,148.654351
-11.779574,22,149.67968
-9.613644,22,150.565067
-9.666269,22,151.451421
-8.583825,22,152.430061
-7.971608,22,153.454938
-8.044566,22,154.345547
-8.764023,22,155.233816
-8.869959,22,156.121771
-11.60348,22,157.007929
-8.408879,22,158.126759
-8.527534,22,159.014201
-8.172346,22,159.901861
-10.559342,22,160.792146
-7.961389,22,161.815632
-9.110844,22,162.700485
-11.361875,22,163.675199
-8.073576,22,164.561375
-9.372622,22,165.446422
-12.198824,22,166.469789
-9.520577,22,167.356505
-8.931124,22,168.242836
-7.018518,22,169.219456
-7.817982,22,170.243173
-8.807488,22,171.127292
-8.546186,22,172.012981
-11.021531,22,172.898658
-5.884833,22,173.786354
-8.72498,22,174.903034
-8.234071,22,175.791271
-7.257197,22,176.678603
-10.340154,22,177.566717
-9.780003,22,178.593044
-7.471231,22,179.47782
-7.41949,22,180.449836
-9.959651,22,181.333162
-8.715116,22,182.221207
-10.136752,22,183.246351
-7.738929,22,184.131644
-8.166882,22,185.10709
-8.580364,22,185.99001
-7.983733,22,186.877687
-9.469782,22,187.911348
-9.59037,22,188.799589
-9.742033,22,189.688333
-15.624513,22,190.665022
-7.879458,22,191.685308
-6.584294,22,192.567426
-8.239736,22,193.455766
