#{"t_start": 1726721412.4296048, "env_id": "None"}
r,l,t
14.485165,15,2.196355
13.755981,14,2.758323
83.577887,85,6.29299
35.071025,36,8.137516
18.576465,19,8.90299
32.043176,34,10.658179
63.139083,65,13.36869
59.735723,61,16.16849
16.528834,17,16.854432
72.019161,72,20.178733
87.468936,87,24.132146
47.699439,49,26.205052
62.839308,62,29.09798
21.693255,24,30.067715
136.855614,140,36.211135
17.9951,19,36.981542
46.235331,50,39.363149
199.237814,201,48.235994
23.68448,26,49.274178
201.568129,201,58.270488
59.247488,58,61.082897
19.079442,20,61.884008
24.004351,25,62.892224
145.015002,148,69.81017
71.338714,74,73.246224
14.862232,15,73.849833
200.626166,201,82.942679
202.55025,201,92.169415
36.496593,41,93.906666
203.76559,201,103.007398
198.966663,201,112.29223
199.240054,201,121.378233
203.597403,201,130.547444
198.176605,201,139.655858
198.849022,201,148.709682
202.509398,201,157.902211
204.320751,201,167.116772
197.826365,201,176.838539
200.891878,201,186.55228
204.038826,201,196.346279
202.865806,201,206.004729
199.500745,201,215.380094
200.1083,201,224.745015
195.019494,201,234.352058
114.167264,118,239.922336
196.92051,201,249.363803
191.502877,201,259.015867
204.775737,201,269.247006
195.068509,201,279.350861
200.909504,201,289.193983
19.186975,20,290.676529
204.252391,201,300.916483
200.663294,201,312.137009
194.810602,201,322.562217
201.867185,201,332.366296
198.880911,201,341.960439
204.392278,201,351.88728
204.712647,201,361.842941
204.901094,201,371.275117
205.012366,201,380.813458
204.402132,201,390.365079
199.000637,201,399.767284
203.368859,201,410.414891
203.358163,201,420.875889
202.727185,201,430.843543
202.110956,201,440.291151
200.269041,201,449.869539
200.421066,201,459.085515
199.105133,201,468.125201
198.625823,201,477.75017
202.294973,201,487.471283
197.561215,201,496.780193
196.176273,201,505.832558
197.014366,201,514.780964
25.788779,27,515.86943
195.672974,201,524.978271
200.528889,201,534.194676
199.057517,201,543.384724
197.811311,201,552.53202
201.137388,201,561.559029
198.320579,201,570.722976
200.101324,201,579.724908
202.070929,201,589.060382
199.276712,201,598.475188
201.549946,201,607.617441
200.333564,201,617.004123
200.111449,201,626.179216
200.56666,201,635.532604
199.007195,201,644.718364
196.315972,201,653.760037
193.187579,201,662.692432
30.78252,32,664.266845
110.624273,116,669.365575
38.222026,40,670.980136
191.524566,201,679.938787
95.590566,99,684.232409
196.709898,201,693.216855
195.31412,201,702.15234
196.655494,201,711.123826
195.096383,201,720.153482
197.793244,201,729.110315
194.818321,201,738.166132
195.734124,201,747.151329
192.650165,201,756.074811
193.744526,201,764.858473
190.156566,201,773.693713
189.845953,201,782.536921
194.999478,201,791.323701
193.413659,201,800.332787
194.597321,201,809.280527
195.741367,201,818.293725
195.201688,201,827.255644
195.758021,201,836.38037
196.358364,201,845.507962
197.436542,201,854.525479
197.131376,201,863.704303
198.993863,201,872.822156
199.774799,201,882.19859
197.63826,201,891.486131
199.753125,201,900.92933
200.244382,201,910.237951
199.588889,201,919.391072
200.568258,201,928.559242
198.698452,201,937.723662
197.664455,201,947.433043
197.09936,201,956.410349
197.880276,201,965.660143
198.144911,201,974.88395
197.481441,201,983.991465
197.374815,201,993.118153
198.898001,201,1002.177621
196.08595,201,1011.413966
199.712369,201,1020.671632
200.228783,201,1029.93705
198.729795,201,1039.221162
199.517976,201,1048.570115
198.91916,201,1057.922695
200.017856,201,1067.147354
200.202003,201,1076.389119
199.118182,201,1085.468488
196.893939,201,1094.623013
198.186129,201,1103.780535
197.300439,201,1112.826506
198.999509,201,1122.025827
199.233308,201,1131.270075
197.576764,201,1140.360953
199.890901,201,1149.441273
201.329452,201,1158.793041
199.564684,201,1168.248241
200.863088,201,1177.72156
200.832141,201,1187.329463
200.895165,201,1196.881585
200.175438,201,1206.407297
200.563941,201,1215.714668
201.473018,201,1225.698187
200.611306,201,1235.426222
201.369488,201,1244.868623
200.336964,201,1254.527582
200.828306,201,1263.98572
201.741653,201,1273.617034
200.57456,201,1283.224734
202.409405,201,1293.113621
201.099319,201,1302.789068
201.609795,201,1312.450031
202.514453,201,1322.171749
201.476516,201,1332.235931
201.698224,201,1342.66655
202.123025,201,1352.739033
202.177973,201,1363.420157
203.461137,201,1373.878578
203.149754,201,1384.52702
203.251854,201,1395.066155
203.145622,201,1405.743997
202.597244,201,1416.330905
201.941212,201,1426.866269
202.810316,201,1437.225147
203.127552,201,1447.955823
202.965305,201,1458.750844
203.243886,201,1469.660635
203.433242,201,1480.19511
204.68617,201,1490.788457
204.554547,201,1501.600051
203.41199,201,1512.416528
203.677201,201,1523.097899
203.223774,201,1533.727233
203.707746,201,1544.232643
203.644708,201,1554.956105
203.885347,201,1565.734327
204.278523,201,1576.401847
203.668235,201,1587.176769
203.103729,201,1597.780706
203.647844,201,1608.312253
204.666156,201,1619.50746
202.929205,201,1630.053703
201.587492,201,1640.56253
202.4107,201,1650.599373
202.897379,201,1660.87689
202.764805,201,1671.232099
202.434683,201,1681.620077
202.67935,201,1691.790668
202.603549,201,1701.679481
202.221731,201,1711.784698
201.860054,201,1721.713925
202.286114,201,1731.741076
202.343938,201,1741.611197
200.277907,201,1751.13731
201.136758,201,1760.793014
200.984788,201,1770.235577
200.975028,201,1779.913664
200.732636,201,1789.169575
201.273327,201,1798.859025
199.321533,201,1808.058622
200.728224,201,1817.408692
198.206613,201,1826.860156
200.89479,201,1836.09628
200.645315,201,1845.722781
201.209822,201,1855.711217
201.415124,201,1865.384433
201.016367,201,1874.924636
201.239021,201,1884.542175
201.220121,201,1894.134962
200.751711,201,1903.41823
201.347895,201,1912.9437
200.583715,201,1922.497499
199.292295,201,1932.345515
197.413234,201,1941.465567
198.391477,201,1950.673057
198.461763,201,1959.95766
200.708988,201,1969.222458
199.118515,201,1978.56263
200.300961,201,1987.79878
198.857178,201,1997.295478
200.326812,201,2006.495656
201.25415,201,2015.942027
199.591452,201,2025.244988
199.947661,201,2034.457116
200.817558,201,2043.910511
199.324929,201,2053.315721
199.661509,201,2062.718816
199.793609,201,2072.154643
200.193653,201,2081.612444
200.914357,201,2091.123628
200.540301,201,2100.398316
200.101044,201,2109.986069
199.837127,201,2119.485776
201.354709,201,2128.98132
200.405363,201,2138.361063
201.277288,201,2147.91603
199.655959,201,2157.399669
199.401733,201,2166.92248
199.094974,201,2176.514252
200.194315,201,2185.785037
201.461178,201,2195.445602
201.469437,201,2204.74244
200.82894,201,2214.039777
200.26221,201,2223.428105
201.419527,201,2232.779869
201.122688,201,2242.265009
201.160865,201,2252.073705
202.15476,201,2261.913531
201.535961,201,2271.580373
201.187622,201,2281.128336
201.805019,201,2290.872336
198.296719,201,2300.367011
202.541663,201,2310.121481
200.60644,201,2319.632097
202.024878,201,2329.224847
199.769111,201,2338.722028
202.19345,201,2348.436796
199.622841,201,2357.831159
200.805406,201,2367.164314
198.885924,201,2376.555844
