#{"t_start": 1726760701.5615218, "env_id": "None"}
r,l,t
-7.933058,1,0.062
-6.46668,1,0.103168
-17.250211,7,0.390353
-13.470009,4,0.553566
-10.291546,1,0.594209
-18.281737,7,0.883237
-18.681672,13,1.413493
-14.049203,3,1.536982
-23.516203,15,2.150488
-26.604635,13,2.679726
-10.291546,1,2.720888
-12.639248,2,2.802236
-7.933058,1,2.846378
-16.5142,8,3.172744
-10.018525,1,3.213416
-20.239615,5,3.417277
-17.591062,27,4.639332
-14.759743,5,4.843194
-16.461004,5,5.046525
-9.766793,27,6.241412
-16.562523,8,6.568779
-11.698683,1,6.61094
-28.622527,16,7.264066
-17.356049,3,7.386578
-12.365523,2,7.467899
-14.996466,6,7.711931
-9.202073,2,7.795154
-10.259795,3,7.917143
-7.933058,1,7.957814
-12.085639,4,8.122
-19.135719,10,8.647086
-10.018525,1,8.687761
-15.680256,11,9.136119
-11.728448,1,9.177312
-14.45625,4,9.340997
-22.577699,13,9.872707
-17.421277,7,10.158399
-10.175027,4,10.320591
-18.432624,6,10.566608
-11.910869,5,10.771434
-10.018525,1,10.813128
-10.018525,1,10.946414
-12.242845,2,11.028261
-13.696019,5,11.231619
-19.570912,27,12.334724
-10.668451,2,12.416041
-26.215461,27,13.571253
-13.809277,3,13.694257
-12.229486,2,13.776102
-19.94359,10,14.187783
-11.698683,1,14.22845
-10.309234,3,14.350962
-10.259795,3,14.472955
-11.728448,1,14.513651
-17.197349,4,14.676677
-27.640003,8,15.003569
-12.680959,3,15.125585
-11.728448,1,15.166256
-1.826365,27,16.363459
-14.049203,3,16.488919
-14.776756,3,16.611431
-6.322982,1,16.652103
-11.889025,4,16.816279
-23.408743,23,17.801681
-13.628474,10,18.212368
-24.12075,12,18.701882
-12.390717,6,18.94641
-21.59104,8,19.274342
-15.560049,5,19.478224
-14.27935,27,20.582823
-9.615713,3,20.705328
-20.954933,26,21.896441
-21.703061,8,22.223776
-10.291546,1,22.26447
-11.728448,1,22.305638
-14.645887,27,23.409323
-23.829569,8,23.736193
-6.46668,1,23.77684
-11.698683,1,23.818031
-12.229486,2,23.901833
-7.933058,1,23.943001
-7.933058,1,23.983701
-11.728448,1,24.024345
-26.391897,17,24.717285
-31.235196,27,25.846725
-11.728448,1,25.887883
-15.074881,11,26.338256
-28.973227,27,27.535511
-14.986388,3,27.657527
-10.291546,1,27.698699
-16.987736,7,27.984396
-6.322982,1,28.025581
-17.847173,27,29.127638
-19.908017,9,29.494155
-8.943705,2,29.607243
-13.358458,3,29.729789
-14.061539,27,30.834376
-10.175027,4,30.997567
-6.46668,1,31.038735
-31.482835,12,31.53063
-14.834573,8,31.856535
-10.863957,1,31.897702
-12.909685,3,32.020184
-10.018525,1,32.060855
-6.46668,1,32.101526
-13.358458,3,32.22546
-13.900273,3,32.437261
-10.863957,1,32.477929
-10.018525,1,32.518612
-15.004896,3,32.641608
-30.884252,19,33.418348
-23.144518,27,34.579975
-11.263519,7,34.867136
-12.651592,27,35.972263
-11.728448,1,36.013431
-10.668451,2,36.095244
-15.741799,8,36.421606
-14.409726,5,36.625963
-13.358458,3,36.749934
-12.639248,2,36.831279
-12.242845,2,36.913146
-16.559697,8,37.238984
-7.933058,1,37.280615
-14.847338,27,38.543877
-6.322982,1,38.585039
-9.953308,3,38.707557
-10.863957,1,38.7482
-10.018525,1,38.789864
-7.933058,1,38.83106
-15.004896,3,38.953076
-10.291546,1,38.994245
-10.018525,1,39.034888
-11.698683,1,39.077568
-14.620656,2,39.159385
-17.398608,10,39.567123
-14.620656,2,39.649348
-13.671774,8,39.977645
-13.919048,2,40.060007
-10.863957,1,40.100671
-18.011495,27,41.207788
-6.322982,1,41.248961
-17.325686,9,41.615501
-18.50571,27,42.768707
-12.365523,2,42.85005
-12.229486,2,42.93189
-20.214728,27,44.125803
-23.78952,27,45.229275
-6.46668,1,45.269954
-13.531183,3,45.392464
-14.997561,3,45.514975
-15.549058,4,45.678132
-31.129373,19,46.516401
-10.259795,3,46.639905
-12.229486,2,46.721222
-13.919048,2,46.803072
-6.322982,1,46.844749
-13.328693,3,46.966765
-12.242845,2,47.049107
-12.639248,2,47.130946
-6.46668,1,47.172114
-10.863957,1,47.213254
-10.863957,1,47.253957
-7.933058,1,47.297575
-11.698683,1,47.338247
-14.524224,26,48.398652
-15.854369,25,49.513608
-2.687543,27,50.678859
-19.418267,7,50.96502
-11.728448,1,51.005697
-4.915823,27,52.10929
-10.018525,1,52.150929
-11.698683,1,52.191602
-4.685448,27,53.294627
-4.860081,27,54.490405
6.62654,27,55.645623
-10.863957,1,55.686256
-6.46668,1,55.727425
-7.933058,1,55.768096
-12.814296,2,55.850433
-9.615713,3,55.975833
11.342784,27,57.07951
-14.612828,27,58.182588
-6.322982,1,58.222765
-7.524402,2,58.305101
-10.291546,1,58.345267
16.420175,27,59.598163
15.495734,27,60.700299
9.486299,27,61.80373
-7.524402,2,61.885572
-7.933058,1,61.926743
-10.863957,1,61.967416
11.663957,27,63.069997
5.605156,27,64.225999
9.738995,27,65.418322
10.471655,27,66.52388
