#{"t_start": 1726755788.5399892, "env_id": "None"}
r,l,t
-201.0,201,11.193607
-201.0,201,22.44857
-201.0,201,33.616088
-201.0,201,44.880554
-201.0,201,56.07102
-201.0,201,67.340797
-201.0,201,78.501037
-201.0,201,89.748491
-201.0,201,101.005338
-201.0,201,112.173069
-201.0,201,123.431732
-201.0,201,134.615768
-201.0,201,145.878429
-201.0,201,157.056127
-201.0,201,168.331619
-201.0,201,179.592056
-201.0,201,190.741269
-201.0,201,202.011744
-201.0,201,213.181972
-201.0,201,224.442003
-201.0,201,235.60659
-201.0,201,246.867508
-201.0,201,258.116246
-201.0,201,269.279267
-201.0,201,280.527029
-201.0,201,291.698436
-201.0,201,302.984764
-201.0,201,314.163768
-201.0,201,325.42149
-201.0,201,336.683989
-201.0,201,347.857559
-201.0,201,359.091444
-201.0,201,370.25465
-201.0,201,381.512469
-201.0,201,392.68205
-201.0,201,403.970087
-201.0,201,415.205308
-201.0,201,426.379828
-201.0,201,437.626008
-201.0,201,448.792344
-201.0,201,460.050519
-201.0,201,471.224267
-201.0,201,482.451041
-201.0,201,493.730082
-201.0,201,504.912335
-201.0,201,516.186993
-201.0,201,527.378648
-201.0,201,538.655063
-201.0,201,549.845264
-201.0,201,561.087352
-201.0,201,572.341499
-201.0,201,583.509517
-201.0,201,594.777289
-201.0,201,605.956035
-201.0,201,617.193995
-201.0,201,628.384693
-201.0,201,639.645812
-201.0,201,650.909683
-201.0,201,662.096557
-201.0,201,673.377805
-201.0,201,684.541103
-201.0,201,695.792163
-201.0,201,706.948537
-201.0,201,718.184943
-201.0,201,729.448955
-201.0,201,740.614129
-201.0,201,751.864707
-201.0,201,763.032925
-201.0,201,774.293863
-201.0,201,785.4537
-201.0,201,796.701045
-201.0,201,807.949341
-201.0,201,819.12471
-201.0,201,830.377242
-201.0,201,841.552779
-201.0,201,852.817189
-201.0,201,863.980174
-201.0,201,875.234607
-201.0,201,886.50274
-201.0,201,897.663905
-201.0,201,908.927134
-201.0,201,920.105828
-201.0,201,931.40724
-201.0,201,942.557267
-201.0,201,953.838993
-201.0,201,965.086631
-201.0,201,976.255604
-201.0,201,987.514041
-201.0,201,998.710527
-201.0,201,1009.95885
-201.0,201,1021.137523
-201.0,201,1032.407617
-201.0,201,1043.66502
-201.0,201,1054.831801
-201.0,201,1066.094425
-201.0,201,1077.248213
-201.0,201,1088.496303
-201.0,201,1099.66558
-201.0,201,1110.934322
-201.0,201,1122.1968
-201.0,201,1134.826476
-201.0,201,1146.066161
-201.0,201,1157.232436
-201.0,201,1168.493556
-201.0,201,1179.666247
-201.0,201,1190.928129
-201.0,201,1202.185869
-201.0,201,1213.342168
-201.0,201,1224.592838
-201.0,201,1235.777459
-201.0,201,1247.018635
-201.0,201,1258.1722
-201.0,201,1269.444036
-201.0,201,1280.690341
-201.0,201,1291.87686
-201.0,201,1303.139229
-201.0,201,1314.372355
-201.0,201,1325.631427
-201.0,201,1336.795797
-201.0,201,1348.063275
-201.0,201,1359.321846
-201.0,201,1370.484638
-201.0,201,1381.731925
-201.0,201,1392.923902
-201.0,201,1404.185015
-201.0,201,1415.34784
-201.0,201,1426.582155
-201.0,201,1437.736145
-201.0,201,1449.010858
-201.0,201,1460.282707
-201.0,201,1471.462095
-201.0,201,1482.724399
-201.0,201,1493.886507
-201.0,201,1505.163144
-201.0,201,1516.342692
-201.0,201,1527.614706
-201.0,201,1538.864773
-201.0,201,1550.018741
-201.0,201,1561.305232
-201.0,201,1572.449325
-201.0,201,1583.718586
-201.0,201,1594.910038
-201.0,201,1606.148067
-201.0,201,1617.41465
-201.0,201,1629.037047
-201.0,201,1640.300455
-201.0,201,1651.464045
-201.0,201,1662.801501
-201.0,201,1673.968974
-201.0,201,1685.234978
-201.0,201,1696.463242
-201.0,201,1707.617958
-201.0,201,1718.87823
-201.0,201,1730.046267
-201.0,201,1741.306185
-201.0,201,1752.477467
-201.0,201,1763.754459
-201.0,201,1775.016312
-201.0,201,1786.212013
-201.0,201,1797.457883
-201.0,201,1808.638158
-201.0,201,1819.88893
-201.0,201,1831.073337
-201.0,201,1842.339798
-201.0,201,1853.606431
-201.0,201,1864.772202
-201.0,201,1876.044971
-201.0,201,1887.220898
-201.0,201,1898.505418
-201.0,201,1909.683157
-201.0,201,1920.94733
-201.0,201,1932.203579
-201.0,201,1943.381644
-201.0,201,1954.631161
-201.0,201,1965.791101
-201.0,201,1977.051872
-201.0,201,1988.213318
-201.0,201,1999.459091
-201.0,201,2010.764178
-201.0,201,2021.923035
-201.0,201,2033.194998
-201.0,201,2044.368824
-201.0,201,2055.665088
-201.0,201,2066.853287
-201.0,201,2078.107237
-201.0,201,2089.35983
-201.0,201,2100.532424
-201.0,201,2111.788147
-201.0,201,2122.938259
-201.0,201,2134.180767
-201.0,201,2145.355486
-201.0,201,2156.616107
-201.0,201,2167.86156
-201.0,201,2179.03338
-201.0,201,2190.292917
-201.0,201,2201.482116
-201.0,201,2212.763175
-201.0,201,2223.927693
-201.0,201,2235.180548
-201.0,201,2246.452347
-201.0,201,2259.092512
-201.0,201,2270.355464
-201.0,201,2281.51354
-201.0,201,2292.771398
-201.0,201,2303.955643
-201.0,201,2315.214598
-201.0,201,2326.45716
-201.0,201,2337.626728
-201.0,201,2348.886835
-201.0,201,2360.055505
-201.0,201,2371.327945
-201.0,201,2382.516134
-201.0,201,2393.769364
-201.0,201,2405.028971
-201.0,201,2416.229817
-201.0,201,2427.484817
-201.0,201,2438.650084
-201.0,201,2449.907884
-201.0,201,2461.076659
-201.0,201,2472.357548
-201.0,201,2483.624636
-201.0,201,2494.787786
-201.0,201,2506.047062
-201.0,201,2517.253793
-201.0,201,2528.513977
