#{"t_start": 1726742038.727288, "env_id": "None"}
r,l,t
-897.762672,201,10.906387
-772.384027,201,21.890095
-736.149182,201,32.748006
-780.575332,201,43.728762
-837.474422,201,54.632644
-778.580692,201,65.609142
-809.419493,201,76.486418
-856.513933,201,87.468395
-778.11045,201,98.435383
-1023.875631,201,109.317587
-719.592745,201,120.278883
-821.194906,201,131.155867
-897.569608,201,142.127393
-890.658519,201,153.033183
-742.735316,201,164.018292
-808.752496,201,174.985463
-793.425774,201,185.879999
-851.695511,201,196.844476
-1025.852825,201,207.723073
-965.131906,201,218.684857
-812.207503,201,229.548691
-714.482695,201,240.521548
-805.430726,201,251.513616
-728.592913,201,262.402503
-966.205251,201,273.364445
-747.842797,201,284.275135
-729.652377,201,295.222715
-732.6638,201,306.079702
-870.797713,201,317.038648
-1086.071021,201,327.977556
-816.935274,201,338.85895
-700.239951,201,349.798278
-977.588257,201,360.677028
-1114.722704,201,371.653756
-763.611445,201,382.542572
-916.053116,201,393.48401
-851.225398,201,404.434897
-771.204162,201,415.313106
-1101.01669,201,426.266701
-1014.212162,201,437.135787
-950.538429,201,448.092393
-1249.19691,201,458.979953
-926.785995,201,469.942895
-1134.006187,201,480.88982
-918.09744,201,491.750486
-1096.283541,201,502.713103
-730.014748,201,513.597543
-934.926096,201,524.536615
-952.709644,201,535.448448
-951.839894,201,546.41103
-1239.341831,201,557.373375
-1439.128366,201,568.242412
-1103.844533,201,579.223508
-958.734543,201,590.132002
-1134.573181,201,601.0978
-1164.499053,201,611.987168
-781.959116,201,622.950123
-822.75667,201,633.942646
-637.763804,201,644.824847
-1134.060028,201,655.785717
-947.24229,201,666.664031
-896.683878,201,677.612032
-1374.336819,201,688.471803
-1110.88354,201,699.460916
-1137.037172,201,710.427004
-801.736113,201,721.280445
-951.529105,201,732.232045
-702.252163,201,743.112252
-1322.253603,201,754.070479
-818.082371,201,764.961012
-966.772887,201,775.920263
-771.807127,201,786.89501
-620.360305,201,797.751405
-1290.398078,201,808.729804
-1450.113707,201,819.60553
-804.883754,201,830.54982
-837.317291,201,841.42792
-822.703209,201,852.411808
-671.21196,201,863.37353
-653.97172,201,874.245946
-971.682653,201,885.179912
-768.254983,201,896.067236
-771.902591,201,907.036696
-541.73174,201,917.900153
-790.061774,201,928.865198
-731.07117,201,939.824245
-734.849131,201,950.723299
-710.605653,201,961.696115
-1324.25969,201,972.54406
-551.569177,201,983.610055
-822.274522,201,994.50621
-730.81209,201,1005.472965
-683.23205,201,1016.408927
-699.618815,201,1027.275999
-745.517381,201,1038.226489
-695.442291,201,1049.105358
-647.209471,201,1060.059225
