#{"t_start": 1726739809.9777331, "env_id": "None"}
r,l,t
-43.837839,52,2.093619
-53.304102,52,4.557809
-52.140557,52,6.726697
-48.364335,52,9.20484
-51.865991,52,11.372584
-51.322341,52,13.842797
-53.195306,52,15.925274
-45.357534,52,18.478951
-47.135375,52,20.557193
-51.151749,52,23.106078
-52.075226,52,25.180257
-50.962913,52,27.654311
-47.342374,52,29.820469
-51.173327,52,32.290018
-55.171619,52,34.453841
-53.356227,52,36.921857
-51.632059,52,38.999168
-48.730943,52,41.545284
-48.405554,52,43.618561
-49.237722,52,46.167503
-52.734781,52,48.242246
-52.890859,52,50.703795
-51.251164,52,52.868276
-48.165133,52,55.327588
-52.663799,52,57.488986
-51.414161,52,59.949494
-43.986092,52,62.410132
-49.245384,52,64.578044
-53.190493,52,67.037184
-50.854652,52,69.198238
-55.06841,52,71.671326
-48.221388,52,73.747585
-52.641772,52,76.316075
-49.5258,52,78.401391
-53.003249,52,80.94996
-50.93659,52,83.031466
-52.540904,52,85.579763
-51.738004,52,87.659909
-53.535498,52,90.117402
-50.940407,52,92.286769
-53.564006,52,94.753562
-53.023241,52,96.924714
-50.575016,52,99.390901
-51.454379,52,101.468151
-49.002868,52,104.017099
-49.562695,52,106.091871
-51.385822,52,108.645579
-48.509479,52,110.721172
-48.928739,52,113.179609
-51.188246,52,115.345017
-50.366306,52,117.80467
-46.038401,52,120.35833
-52.523422,52,122.43387
-49.558131,52,124.893652
-55.26747,52,127.050998
-51.223696,52,129.524307
-52.245149,52,131.689497
-49.895325,52,134.153132
-52.219485,52,136.229709
-48.142527,52,138.774252
-46.630486,52,140.850927
-49.271957,52,143.407085
-50.587645,52,145.481973
-50.095926,52,147.944031
-47.694148,52,150.10748
-52.310599,52,152.565666
-50.221654,52,154.730584
-48.762654,52,157.187608
-48.473745,52,159.355693
-48.588238,52,161.815957
-48.17513,52,163.88785
-48.257333,52,166.444441
-49.641869,52,168.525205
-48.631726,52,171.07266
-50.477378,52,173.150845
-44.373552,52,175.62834
-45.62384,52,178.179649
-52.500363,52,180.25282
-53.643285,52,182.802925
-53.860271,52,184.884554
-48.614896,52,187.345683
-48.397188,52,189.505328
-48.178595,52,191.969286
-52.68796,52,194.132613
-53.015518,52,196.601153
-51.700806,52,198.679288
-48.897619,52,201.2284
-48.192009,52,203.302617
-49.777004,52,205.854571
-48.587294,52,207.926392
-49.260928,52,210.385753
-49.685053,52,212.543825
-49.023252,52,215.01329
-51.958071,52,217.171698
-59.174228,52,219.639551
-55.407188,52,221.718589
-45.562846,52,224.273505
-48.308825,52,226.352154
-45.521387,52,228.910783
-50.618878,52,230.986186
-51.723531,52,233.539217
-50.503711,52,235.99769
-50.960444,52,238.069956
-47.158721,52,240.620413
-48.690355,52,242.694567
