#{"t_start": 1726731127.3835275, "env_id": "None"}
r,l,t
-143.336103,22,0.901099
-196.884035,22,1.777505
-52.808692,22,2.654458
-162.646566,22,3.533672
-119.354939,22,4.55819
-72.04853,22,5.521893
-72.475371,22,6.397858
-62.580134,22,7.27429
-248.934757,22,8.152607
-49.470786,22,9.164249
-96.609476,22,10.042129
-84.124303,22,11.010753
-228.610163,22,11.888704
-115.967973,22,12.915928
-51.418015,22,13.79685
-55.529069,22,14.672793
-53.987048,22,15.552669
-79.279149,22,16.516248
-55.070516,22,17.546296
-165.742686,22,18.423721
-52.657289,22,19.29864
-59.194877,22,20.176049
-75.814251,22,21.188386
-53.012232,22,22.152506
-60.492822,22,23.031947
-53.116109,22,23.910801
-48.788295,22,24.787176
-52.392085,22,25.811841
-58.074476,22,26.695166
-54.817935,22,27.66457
-52.480102,22,28.542336
-52.067638,22,29.556629
-63.592633,22,30.434522
-51.031796,22,31.312793
-120.782059,22,32.279617
-52.516303,22,33.1551
-53.799651,22,34.183833
-52.085549,22,35.063711
-54.216293,22,35.941659
-49.673933,22,36.819582
-49.933512,22,37.920995
-54.465099,22,38.800614
-53.16504,22,39.678914
-61.880129,22,40.552896
-53.748089,22,41.4293
-51.135462,22,42.442976
-55.756456,22,43.40706
-51.461499,22,44.284736
-55.667322,22,45.16294
-60.120625,22,46.04136
-59.521528,22,47.057128
-49.19217,22,47.93667
-52.209734,22,48.900313
-54.823874,22,49.777771
-53.47881,22,50.793846
-52.205413,22,51.672475
-53.224838,22,52.55187
-52.507648,22,53.431988
-52.15605,22,54.399436
-52.607063,22,55.415743
-54.431364,22,56.292692
-53.193643,22,57.169628
-57.487326,22,58.044546
-49.951322,22,59.056347
-51.268553,22,60.02008
-54.729757,22,60.897509
-50.206161,22,61.772455
-52.183499,22,62.650098
-51.893953,22,63.667706
-52.830617,22,64.632927
-75.946314,22,65.510817
-49.518743,22,66.388088
-54.466276,22,67.403674
-51.866865,22,68.280991
-58.823684,22,69.157916
-74.894471,22,70.126869
-49.53024,22,71.006691
-50.918919,22,72.022305
-232.415008,22,72.897249
-51.830609,22,73.774148
-62.459518,22,74.656559
-50.025306,22,75.754051
-53.651763,22,76.631399
-55.495115,22,77.509199
-60.626511,22,78.385055
-50.366316,22,79.262934
-50.732637,22,80.278234
-52.870484,22,81.239802
-52.429032,22,82.116295
-56.555655,22,82.995869
-56.243796,22,84.008618
-50.2895,22,84.883517
-52.571547,22,85.762933
-50.786108,22,86.729419
-52.649515,22,87.609328
-52.563568,22,88.637042
-62.504189,22,89.515558
-50.845495,22,90.39326
-53.570506,22,91.359479
-54.379266,22,92.239851
-51.292693,22,93.266091
-52.963503,22,94.144041
-51.796858,22,95.021784
-48.637678,22,95.89623
-54.263261,22,97.00983
-49.235015,22,97.888657
-53.173498,22,98.767575
-51.028721,22,99.648889
-49.615247,22,100.523257
-50.523288,22,101.553743
-52.290061,22,102.521339
-50.818168,22,103.397345
-50.468592,22,104.274678
-52.349217,22,105.292378
-49.878162,22,106.171712
-52.026571,22,107.049111
-51.450591,22,108.011298
-52.780234,22,108.88858
-51.524877,22,109.904928
-50.973514,22,110.780991
-56.072503,22,111.657825
-52.684506,22,112.531783
-51.481479,22,113.632468
-50.236914,22,114.50791
-55.070764,22,115.382311
-50.56718,22,116.258605
-53.214466,22,117.137554
-49.298427,22,118.151299
-50.755198,22,119.119495
-50.175597,22,119.996419
-51.959393,22,120.874697
-52.298861,22,121.904546
-49.715705,22,122.779808
-47.910348,22,123.743092
-52.399983,22,124.622885
-53.933752,22,125.49873
-52.14856,22,126.516453
-49.191156,22,127.394726
-53.013163,22,128.273142
-53.026112,22,129.240967
-50.643602,22,130.259119
-52.486517,22,131.138085
-53.224435,22,132.015339
-53.113751,22,132.89314
-49.539444,22,133.772815
-50.958311,22,134.877048
-52.754532,22,135.751151
-57.540138,22,136.628608
-54.462309,22,137.50705
-50.784709,22,138.383824
-49.148105,22,139.398997
-48.248762,22,140.36604
-52.847648,22,141.242536
-51.212354,22,142.121448
-50.832246,22,143.137258
-54.442039,22,144.015619
-53.55607,22,144.893566
-50.42094,22,145.856826
-51.712358,22,146.732187
-57.760181,22,147.744331
-52.590068,22,148.621394
-54.160683,22,149.499931
-48.856694,22,150.467923
-51.367096,22,151.481723
-54.813492,22,152.360137
-52.015995,22,153.241796
-56.958842,22,154.118265
-49.082729,22,154.995222
-55.678227,22,156.099357
-50.642992,22,156.976755
-51.4147,22,157.854704
-49.72975,22,158.733512
-51.135247,22,159.75801
-51.159991,22,160.640754
-51.703736,22,161.6075
-55.540109,22,162.483493
-53.193321,22,163.360395
-55.827887,22,164.377671
-52.469948,22,165.257615
-54.147171,22,166.13702
-52.606585,22,167.101815
-50.978654,22,168.116491
-51.739491,22,168.9956
-50.208037,22,169.870079
-55.216003,22,170.747461
-49.731642,22,171.629255
-50.931451,22,172.73542
-54.543962,22,173.613907
-52.727077,22,174.492725
-54.321539,22,175.369603
-51.618325,22,176.386288
-52.32445,22,177.261635
-52.679039,22,178.229766
-54.765266,22,179.108555
-55.987249,22,179.985505
-51.578791,22,181.004732
-52.146908,22,181.883679
-51.790975,22,182.848895
-49.676209,22,183.724303
-51.971494,22,184.602236
-52.143382,22,185.621275
-53.013746,22,186.499572
-50.863591,22,187.378489
-50.340475,22,188.341195
-50.374366,22,189.356121
-53.753468,22,190.232527
-50.760795,22,191.107995
-50.467355,22,191.984567
-52.727224,22,192.861
-53.644988,22,193.967288
-49.791492,22,194.84427
-49.793572,22,195.72207
-50.039261,22,196.598843
-55.780526,22,197.62676
-52.190845,22,198.504992
-55.480536,22,199.468284
-53.797053,22,200.346344
-53.416728,22,201.226599
-55.681045,22,202.241873
-51.453182,22,203.119394
-51.215226,22,203.997695
-53.388013,22,204.966853
-51.510902,22,205.980932
-49.898857,22,206.860258
-50.344354,22,207.742562
-49.823386,22,208.6199
-53.21606,22,209.585868
-52.290001,22,210.603092
-55.164511,22,211.481983
-51.109606,22,212.359408
-49.430506,22,213.241211
-53.873736,22,214.25717
-50.128315,22,215.223379
-49.884663,22,216.104299
-50.491905,22,216.983686
-51.763038,22,217.863682
-51.222421,22,218.892892
-51.463138,22,219.769329
-54.610568,22,220.733258
-51.714654,22,221.612579
-51.034211,22,222.639582
-51.763778,22,223.518018
-51.248306,22,224.39296
-51.916822,22,225.269391
-52.286134,22,226.233974
-50.249744,22,227.247801
-51.256069,22,228.126678
-52.079865,22,229.004503
-53.370331,22,229.880916
-50.713915,22,230.75875
-49.561239,22,231.863518
-51.973224,22,232.74097
-51.424512,22,233.620789
-50.783398,22,234.502296
-51.232298,22,235.516371
-52.236545,22,236.394091
-49.179363,22,237.360828
-53.540184,22,238.240233
-49.679082,22,239.115671
-53.388434,22,240.133441
-50.995049,22,241.011858
-51.146324,22,241.976573
-50.305594,22,242.854811
-48.774792,22,243.869702
-52.076593,22,244.748636
-50.727396,22,245.627231
-51.145075,22,246.504134
-50.673416,22,247.469767
-51.134381,22,248.490628
-50.5128,22,249.367584
-50.673765,22,250.244882
-49.997762,22,251.120348
-50.307631,22,252.135302
-50.590599,22,253.106615
-49.892875,22,253.984564
-50.123668,22,254.860502
-51.486796,22,255.742859
-50.851652,22,256.755588
-52.094899,22,257.633423
-51.274472,22,258.598607
-51.060353,22,259.478494
-49.779441,22,260.490986
-49.517324,22,261.370319
-49.409811,22,262.246152
-51.108074,22,263.124751
-49.792034,22,264.094929
-50.802758,22,265.113757
-49.341466,22,265.989489
-54.767783,22,266.869276
-51.347537,22,267.745609
-49.160057,22,268.847345
-50.94183,22,269.725517
-50.501563,22,270.602548
-53.449826,22,271.480446
-50.641541,22,272.357262
-51.431783,22,273.372197
-49.844395,22,274.339076
-50.233758,22,275.215975
-51.431483,22,276.091873
-50.650512,22,276.970753
-49.60164,22,277.989534
-49.414144,22,278.865968
-50.709487,22,279.831428
-51.091839,22,280.708678
-50.865507,22,281.723059
-51.909464,22,282.600945
-51.004823,22,283.482178
-51.010114,22,284.358724
-48.5664,22,285.325724
-51.010806,22,286.344994
-51.899501,22,287.223935
-51.751805,22,288.102671
-49.680038,22,288.979783
-52.064758,22,289.99767
-48.665207,22,290.965352
-50.866731,22,291.839797
-53.426566,22,292.713749
-48.720213,22,293.593847
-50.058909,22,294.610531
-51.507625,22,295.48885
-49.986661,22,296.458745
-49.496559,22,297.341111
-50.628106,22,298.364447
-50.584732,22,299.240433
-47.958069,22,300.118117
-50.942313,22,301.085394
-51.721085,22,301.961801
-48.877622,22,302.977667
-50.822379,22,303.855443
-49.594573,22,304.738039
-50.272874,22,305.616456
-52.00221,22,306.721003
-50.737554,22,307.598299
-52.029738,22,308.478247
-52.2172,22,309.353693
-49.955243,22,310.232092
-49.474897,22,311.250221
-51.428188,22,312.213984
-51.100642,22,313.088962
-50.679998,22,313.966906
-51.045864,22,314.982716
-51.617717,22,315.861068
-51.706455,22,316.741442
-51.721581,22,317.70388
-58.282702,22,318.58036
-51.266546,22,319.596372
-49.447829,22,320.470782
-48.743123,22,321.348755
-49.68362,22,322.230144
-57.93588,22,323.20008
-50.169916,22,324.220013
-51.194368,22,325.097551
-48.438269,22,325.972993
-54.219165,22,326.852378
-53.295991,22,327.958672
-48.75622,22,328.833135
-49.945593,22,329.714056
-48.88477,22,330.589474
-50.923439,22,331.468374
-53.530015,22,332.485123
-53.050587,22,333.446374
-53.530003,22,334.322958
-51.747801,22,335.201392
-48.839587,22,336.216538
-50.623151,22,337.09543
-50.627131,22,337.974863
-51.640201,22,338.943825
-50.736669,22,339.817778
-49.382545,22,340.836704
-49.390985,22,341.714655
-48.598123,22,342.596047
-51.652884,22,343.472044
-50.24268,22,344.572108
-49.997766,22,345.448017
-50.597555,22,346.325805
-51.91315,22,347.204199
-53.341126,22,348.085232
-49.97646,22,349.101284
-48.963648,22,350.06853
-51.493491,22,350.943852
-48.823966,22,351.820711
-52.814722,22,352.836188
-49.992957,22,353.715501
-51.274274,22,354.59241
-50.452491,22,355.557004
-49.383059,22,356.433923
-49.352471,22,357.456607
-50.591401,22,358.334528
-49.195046,22,359.211485
-48.983554,22,360.173907
-52.690392,22,361.188699
-48.969913,22,362.066677
-50.828743,22,362.943083
-49.821624,22,363.819547
-49.289665,22,364.696892
-49.310177,22,365.79863
-47.91102,22,366.675613
-50.708885,22,367.553578
-50.411228,22,368.432585
-47.861107,22,369.308498
-49.739655,22,370.332763
-50.325665,22,371.300393
-49.507285,22,372.176923
-50.201496,22,373.054348
-49.266067,22,374.071151
-49.773809,22,374.94632
-50.41192,22,375.828528
-49.038419,22,376.79119
-55.972598,22,377.669021
-49.24932,22,378.685144
-50.069105,22,379.561081
-51.564333,22,380.437983
-52.290723,22,381.315973
-49.957926,22,382.41839
-50.53066,22,383.297647
-55.564429,22,384.177388
-50.661179,22,385.052306
-61.278203,22,385.932713
-63.839161,22,387.034113
-52.321754,22,387.914444
-48.889784,22,388.79082
-49.306794,22,389.673178
-50.108559,22,390.687561
-53.041458,22,391.564263
-49.570017,22,392.53325
-48.940809,22,393.41507
-48.863019,22,394.294911
-48.454391,22,395.306776
-49.729984,22,396.187649
-50.373955,22,397.065556
-55.83968,22,398.033766
-50.097301,22,399.048177
-51.83453,22,399.930387
-49.429038,22,400.807391
-51.492333,22,401.68802
-53.253037,22,402.563866
-50.161952,22,403.664746
-50.191329,22,404.542572
-49.841501,22,405.421958
-52.711782,22,406.29991
-51.578572,22,407.319577
-51.380409,22,408.198341
-48.766343,22,409.159536
-49.629643,22,410.036862
-50.090487,22,410.914289
-51.297655,22,411.93008
-48.633525,22,412.809396
-48.365039,22,413.688643
-49.642613,22,414.653837
-50.571533,22,415.531197
-50.586685,22,416.549432
-49.410852,22,417.429137
-51.283466,22,418.307148
-52.122582,22,419.266886
-49.674056,22,420.285116
-48.570292,22,421.162428
-49.373672,22,422.040248
-49.84349,22,422.921058
-51.2488,22,423.7965
-51.19541,22,424.901877
-50.208499,22,425.780308
-48.794764,22,426.656904
-50.479575,22,427.532874
-48.970932,22,428.545404
-51.534377,22,429.421963
-50.736605,22,430.387676
-50.817909,22,431.264578
-48.302941,22,432.144512
-49.744257,22,433.160118
-51.108706,22,434.038536
-50.030401,22,434.918937
-51.841516,22,435.87972
-49.591661,22,436.894508
-49.51078,22,437.771438
-51.101439,22,438.649249
-52.29949,22,439.52368
-50.171112,22,440.400076
-51.474383,22,441.504303
-47.879927,22,442.382088
-50.180816,22,443.259658
-52.98335,22,444.137504
-50.190215,22,445.158341
-56.985619,22,446.124861
-51.387526,22,447.00279
-49.547182,22,447.880165
-49.128803,22,448.765527
-49.597713,22,449.780368
-53.247777,22,450.660417
-53.848501,22,451.623643
-53.798087,22,452.505062
-49.088766,22,453.516795
-49.174614,22,454.396648
-51.20133,22,455.273577
-52.163096,22,456.153487
-48.872468,22,457.12247
-50.504076,22,458.143649
-50.338779,22,459.022005
-49.047556,22,459.899457
-51.226803,22,460.777636
-48.992414,22,461.654859
-50.117846,22,462.758888
-51.15411,22,463.637778
-53.283657,22,464.517123
-49.978298,22,465.394109
-50.718557,22,466.407918
